rank,name,elo,bestWin,bestWinElo,GCs
1,Sound Check / Waubonsie Valley High School,2050,Friend de Coup / Mitchell High School,1863,4
2,Company of Singers / Totino-Grace High School,2017,Happiness Inc. / Cedar Rapids Kennedy High School,1934,3
3,Attaché / Clinton High School,2002,The Classics / Wheaton Warrenville South High School,1978,4
4,The Classics / Wheaton Warrenville South High School,1978,Company of Singers / Totino-Grace High School,2017,6
5,Ambassadors / Carmel High School,1971,Sound System / Center Grove High School,1845,3
6,Happiness Inc. / Cedar Rapids Kennedy High School,1934,10th Street Edition / Linn-Mar High School,1832,3
7,Expressions / Buffalo Grove High School,1917,Company of Singers / Totino-Grace High School,2017,2
8,Riverside Company / Hastings High School,1901,Happiness Inc. / Cedar Rapids Kennedy High School,1934,2
9,Studio / Urbandale High School,1880,Riverside Company / Hastings High School,1901,2
10,Friend de Coup / Mitchell High School,1863,Swingsations / Mt. Zion High School,1778,2
11,Sound System / Center Grove High School,1845,Choraliers / Fairfield Senior High School,1809,4
12,10th Street Edition / Linn-Mar High School,1832,OnStage / John Hersey High School,1755,2
13,Amazing Technicolor Show Choir / Westside High School,1832,10th Street Edition / Linn-Mar High School,1832,3
14,West Side Delegation / Cedar Rapids Jefferson High School,1830,Xhilaration / Xavier High School,1738,2
15,New Dimensions / Clover Hill High School,1817,First Edition / Findlay High School,1699,3
16,Classic Connection / DeKalb High School,1815,Sound System / Center Grove High School,1845,5
17,Choraliers / Fairfield Senior High School,1809,Classic Connection / DeKalb High School,1815,5
18,In Sync / Burbank High School,1809,First Edition / Findlay High School,1699,1
19,Titanium / Papillion-La Vista South High School,1799,Ultimate Image / Grand Island Senior High School,1663,3
20,Red Hot / Hurricane High School,1798,Show Cards / Colerain High School,1710,2
21,Royalaires / Zionsville High School,1789,Swingsations / Mt. Zion High School,1778,2
22,Sound FX / Los Alamitos High School,1782,New Dimensions / Clover Hill High School,1817,1
23,Swingsations / Mt. Zion High School,1778,Sound System / Center Grove High School,1845,3
24,Panache / Oliver Ames High School,1772,Pure Energy / New Bedford High School,1579,1
25,Central Sound / Lawrence Central High School,1764,Sound System / Center Grove High School,1845,1
26,Visual Adrenaline / Ankeny High School,1756,Amazing Technicolor Show Choir / Westside High School,1832,1
27,OnStage / John Hersey High School,1755,Minstrels / Bishop Luers High School,1641,2
28,Xhilaration / Xavier High School,1738,Studio / Urbandale High School,1880,1
29,Encores / Pike High School,1738,Swingsations / Mt. Zion High School,1778,0
30,Grand Central Station / La Crosse Central High School,1738,Happiness Inc. / Cedar Rapids Kennedy High School,1934,3
31,Varsity Singers / Auburn High School,1733,CenterStage! / Albertville High School,1695,2
32,F.C. Singers / Franklin Central High School,1729,Sound System / Center Grove High School,1845,2
33,Show Cards / Colerain High School,1710,Red Hot / Hurricane High School,1798,3
34,Powerhouse / John Burroughs High School,1706,N/A,-1,0
35,Innovation / Johnston High School,1704,Visual Adrenaline / Ankeny High School,1756,1
36,First Edition / Findlay High School,1699,Great Expectations / Twinsburg High School,1666,1
37,Spotlight / Cosby High School,1698,Knight Scene / Thomas Dale High School,1680,1
38,CenterStage! / Albertville High School,1695,The Network / Homewood High School,1668,1
39,Gold Rush / Eldorado High School,1682,Main Street / La Cueva High School,1497,1
40,Impulse / Wahlert Catholic High School,1682,West Connection / Davenport West High School,1578,2
41,Knight Scene / Thomas Dale High School,1680,Spotlight / Cosby High School,1698,1
42,Good Times / Martinsburg High School,1678,Spotlight / Cosby High School,1698,1
43,The Network / Homewood High School,1668,Varsity Singers / Auburn High School,1733,1
44,Great Expectations / Twinsburg High School,1666,Red Hot / Hurricane High School,1798,1
45,Sound Sensations / John Burroughs High School,1664,Impulse / Wahlert Catholic High School,1682,0
46,Ultimate Image / Grand Island Senior High School,1663,Blackout / Elkhorn South High School,1592,1
47,Power Company / Waconia High School,1662,Riverside Company / Hastings High School,1901,2
48,Charisma / Northrop High School,1655,Knight Moves / Norwell High School,1645,1
49,Elite Energy / Eisenhower High School,1653,Minstrel Magic / Carroll High School,1632,1
50,Millennium / Waukee High School,1648,Innovation / Johnston High School,1704,0
51,Knight Moves / Norwell High School,1645,Royalaires / Zionsville High School,1789,0
52,Counterpoints / North Central High School,1645,Sound / Mundelein High School,1553,0
53,Visual Volume / Poca High School,1644,Good Times / Martinsburg High School,1678,2
54,Minstrels / Bishop Luers High School,1641,Show Cards / Colerain High School,1710,1
55,Express / Troy Buchanan High School,1640,By Request / Loveland High School,1560,0
56,Minstrel Magic / Carroll High School,1632,The Company / Piqua High School,1597,0
57,Silver Connection / Monona Grove High School,1632,Vintage 2011 / Neenah High School,1454,1
58,Spotlight Singers & Company / Brownsburg High School,1631,Delegation / Danville High School,1573,0
59,Hillside Singers / Pleasant Hill High School,1631,Oak Street Singers / Oak Park High School,1579,1
60,Music in Motion / Solon High School,1630,The Company / Piqua High School,1597,1
61,Swingers Unlimited / Marysville High School,1628,Red Hot / Hurricane High School,1798,1
62,Cavaliers / Crete-Monee High School,1626,Swingsations / Mt. Zion High School,1778,2
63,Vocalmotive / Bemidji High School,1624,Impulse / Wahlert Catholic High School,1682,0
64,Friends / Beavercreek High School,1622,Show Cards / Colerain High School,1710,2
65,Momentum / Cedar Rapids Washington High School,1617,OnStage / John Hersey High School,1755,0
66,Titan Fever / Glenwood High School,1609,Hillside Singers / Pleasant Hill High School,1631,2
67,Sound Revolution / Norwalk High School,1605,High Voltage / Emmetsburg High School,1574,1
68,Starship / Enterprise High School,1602,Masquerade / Brea Olinda High School,1598,0
69,Encores / Enterprise High School,1598,Company / South Jones Jr/Sr High School,1524,0
70,Resonance / Lincoln Southwest High School,1598,Ultimate Image / Grand Island Senior High School,1663,1
71,Masquerade / Brea Olinda High School,1598,Sound Vibrations / Hart High School,1489,0
72,Varsity Singers / Huntington North High School,1597,First Edition / Findlay High School,1699,1
73,The Company / Piqua High School,1597,Sandpipers / Chesterton High School,1581,1
74,Noteables / Pekin Community High School,1596,Eisenhower Express / Dwight D. Eisenhower High School,1478,0
75,Blackout / Elkhorn South High School,1592,RUSH / Ralston High School,1577,0
76,Reveillon / Jackson Preparatory School,1590,CenterStage! / Albertville High School,1695,1
77,4th Avenue Jazz Company / Iowa City High School,1585,Dimensions / Dowling Catholic High School,1550,1
78,Sandpipers / Chesterton High School,1581,Magic / Manteno High School,1475,1
79,Pure Energy / New Bedford High School,1579,Choral Spectrum / South Windsor High School,1519,0
80,Oak Street Singers / Oak Park High School,1579,Music Makers / Harrisonville High School,1458,0
81,West Connection / Davenport West High School,1578,Celebration Co. / Benton Community High School,1541,1
82,Harmonia Mundi / Bishop Heelan Catholic School,1578,Rebelaires / Westwood Jr/Sr High School,1541,1
83,RUSH / Ralston High School,1577,Ultimate Image / Grand Island Senior High School,1663,2
84,Prominent Rendition / Teays Valley High School,1577,By Request / Loveland High School,1560,1
85,Center Stage / Preble High School,1576,Cardinal Singers / Mayville High School,1550,0
86,High Voltage / Emmetsburg High School,1574,AcaPella / Pella High School,1548,0
87,Delegation / Danville High School,1573,Titan Fever / Glenwood High School,1609,1
88,Rhapsody / Cosby High School,1572,Esprit / Southwestern Jr/Sr High School,1453,0
89,The Ambassadors / Prairie High School,1572,Silver Connection / Monona Grove High School,1632,1
90,Ovation! / O'Gorman High School,1565,Harmonia Mundi / Bishop Heelan Catholic School,1578,1
91,Rhythm Express / Fairfield Middle School,1562,Prominent Rendition / Teays Valley High School,1577,0
92,Rhythm Masters / Whiteland Community High School,1561,Charisma / Northrop High School,1655,0
93,The Music Machine / Bonita Vista High School,1560,N/A,-1,0
94,By Request / Loveland High School,1560,Classic Connection / DeKalb High School,1815,2
95,Sound / Mundelein High School,1553,Lights / Mundelein High School,1519,0
96,Northside Establishment / Davenport North High School,1553,Commotion / Holy Trinity Jr/Sr High School,1473,1
97,Cardinal Singers / Mayville High School,1550,Center Stage / Preble High School,1576,1
98,Dimensions / Dowling Catholic High School,1550,Revolution / Gretna High School,1412,1
99,AcaPella / Pella High School,1548,Harmonia Mundi / Bishop Heelan Catholic School,1578,1
100,Rebelaires / Westwood Jr/Sr High School,1541,Dimensions / Dowling Catholic High School,1550,0
101,Celebration Co. / Benton Community High School,1541,Summit Street Singers / Center Point-Urbana High School,1485,1
102,Free Spirit / Papillion-La Vista High School,1538,River City Groove / Chamberlain High School,1387,0
103,Hilltoppers / Onalaska High School,1535,Cardinal Singers / Mayville High School,1550,1
104,Jefferson Connection / Bloomington Jefferson High School,1532,Ovation! / O'Gorman High School,1565,1
105,Keynotes / Olentangy High School,1532,Swingers Unlimited / Marysville High School,1628,1
