rank,name,elo,bestWin,bestWinElo,GCs
282,Impact / Sheldon High School,1373,N/A,-1,0
283,Con Brio / Oak Mountain High School,1373,N/A,-1,0
284,Hilltop Harmony / Pleasant Hill High School,1373,N/A,-1,0
285,Locomotion / Altoona High School,1373,N/A,-1,0
286,Esprit / Southwestern Jr/Sr High School,1373,N/A,-1,0
287,Electrify / Somerset Berkley Regional High School,1372,N/A,-1,0
288,Pizzazz / Boston Latin School,1372,N/A,-1,0
289,High Frequency / Whitman Hanson Regional High School,1372,N/A,-1,0
290,Northern Lights / North Oldham High School,1372,N/A,-1,0
291,Swingsations / Carroll High School,1372,N/A,-1,0
292,CENTRifugAL Force / Central Lee High School,1370,Rhythm in Red / Dallas Center-Grimes High School,1312,0
293,Northern Lights / North St. Paul High School,1370,N/A,-1,0
294,Select Sound / South Webster Jr/Sr High School,1369,N/A,-1,0
295,Spotlighters / Mooresville High School,1369,N/A,-1,0
296,Encore / Madison East High School,1368,Jam Session / De Pere High School,1300,0
297,Vocal Rush / Unity High School,1368,N/A,-1,0
298,Blue Revolution / Belleville East High School,1368,N/A,-1,0
299,Uptown Girls / Millard West High School,1367,N/A,-1,0
300,Voices 'N Harmony / Lincoln Northeast High School,1366,N/A,-1,0
301,Central Attraction / Pearl River Central High School,1366,Innovations / Petal High School,1320,0
302,City Heat / Columbia City High School,1366,N/A,-1,0
303,Pop Singers / Jefferson High School,1365,N/A,-1,0
304,Chicagoland Ambassadors / The Rising Stars Company,1365,N/A,-1,0
305,River City Revue / Hannibal High School,1364,N/A,-1,0
306,Old Abe Show Choir / Memorial High School,1363,N/A,-1,0
307,Choral Spectrum / South Windsor High School,1362,N/A,-1,0
308,Aggie Accents / Forrest County Agricultural High School,1362,N/A,-1,0
309,14 Karat Gold / Grand Island Northwest High School,1361,N/A,-1,0
310,Current Edition / James River High School,1360,N/A,-1,0
311,Synergy / Shelbyville High School,1358,N/A,-1,0
312,NHS Singers / Noblesville High School,1358,N/A,-1,0
313,Rhapsody In Blue / Hamilton High School,1357,N/A,-1,0
314,South High Street Singers / Fort Atkinson High School,1357,N/A,-1,0
315,Pizzazz / Parkway Central High School,1357,N/A,-1,0
316,Melodic Fusion / Riverside High School,1354,N/A,-1,0
317,Rendezvous / Preble High School,1351,N/A,-1,0
318,IN Session / Springfield High School,1350,N/A,-1,0
319,Showstoppers / Winston Churchill High School,1349,N/A,-1,0
320,Executive Suite / Sioux Falls Roosevelt High School,1348,N/A,-1,0
321,Red Hot Blues / New Castle High School,1346,N/A,-1,0
322,Illusion / Atlee High School,1345,N/A,-1,0
323,Purple Harmony / Keokuk High School,1342,N/A,-1,0
324,High Society / Jonathan Alder High School,1341,N/A,-1,0
325,Varsity Singers / Ada High School,1341,N/A,-1,0
326,High Impact / Herbert Hoover High School,1338,N/A,-1,0
327,High Voltage / Emmetsburg High School,1338,N/A,-1,0
328,Innergy / Pisgah Jr/Sr High School,1337,N/A,-1,0
329,Treble Makers / Mercy High School,1337,N/A,-1,0
330,West Connection / Davenport West High School,1336,N/A,-1,0
331,Tiger Drive / Marshall High School,1336,N/A,-1,0
332,Sound Attraction / Williamsburg Jr/Sr High School,1335,N/A,-1,0
333,Spectrum / Pius X High School,1334,N/A,-1,0
334,Encore / Cole Camp High School,1332,N/A,-1,0
335,Studio Singers / Omaha Northwest High School,1332,N/A,-1,0
336,Choraleers / Neosho High School,1332,N/A,-1,0
337,Soundsational Singers / Nevada High School,1330,N/A,-1,0
338,Knight Rhythms / East Noble High School,1326,N/A,-1,0
339,Innovations / Petal High School,1320,N/A,-1,0
340,Crimson & Black / LeMars Community High School,1317,N/A,-1,0
341,New Edition / South Jones Jr/Sr High School,1316,N/A,-1,0
342,Rhythm in Red / Dallas Center-Grimes High School,1312,N/A,-1,0
343,Christopher Jive and the Uptown 45 / West Branch High School,1312,N/A,-1,0
344,Voices Unlimited / West Liberty High School,1309,N/A,-1,0
345,Jam Session / De Pere High School,1300,N/A,-1,0
346,Rave Revue / Ravenswood High School,1298,N/A,-1,0
347,Elegance / Lincoln East High School,1298,N/A,-1,0
348,Musical Entourage / Bluffton High School,1298,N/A,-1,0
349,5th Avenue / Western Dubuque High School,1283,N/A,-1,0
350,Special Effect / Lodi High School,1269,N/A,-1,0
351,Vision / New London High School,1265,N/A,-1,0
