rank,name,elo,bestWin,bestWinElo,GCs
1,10th Street Edition / Linn-Mar High School,2106,Spectrum / Ankeny Centennial High School,1991,4
2,Sound System / Center Grove High School,2082,Swingers Unlimited / Marysville High School,1964,5
3,Attaché / Clinton High School,1997,Synergy / Tupelo High School,1811,3
4,Spectrum / Ankeny Centennial High School,1991,Studio / Urbandale High School,1952,3
5,Revolution / Gretna High School,1972,West in the Groove / Millard West High School,1815,2
6,Swingers Unlimited / Marysville High School,1964,Music in Motion / Solon High School,1820,4
7,Studio / Urbandale High School,1952,West in the Groove / Millard West High School,1815,2
8,Choralation / Valley High School,1951,Central Singers Inc. / Davenport Central High School,1906,2
9,Tiger Rhythm / Broken Arrow High School,1943,Choraleers / Neosho High School,1799,4
10,Visual Adrenaline / Ankeny High School,1926,Satisfaction / Sioux Center High School,1711,2
11,Ambassadors / Carmel High School,1915,Magic / Carroll High School,1719,2
12,Central Singers Inc. / Davenport Central High School,1906,Hilltoppers / Onalaska High School,1707,2
13,Rhythm In Gold / Bloomington Kennedy High School,1904,4th Avenue Jazz Company / Iowa City High School,1745,4
14,14 Karat Gold / Grand Island Northwest High School,1897,Resonance / Lincoln Southwest High School,1712,3
15,Equinox / Gretna East High School,1893,Jam Session / De Pere High School,1772,2
16,UNCAGED / Hastings High School,1893,Classic Connection / Sioux Falls Washington High School,1730,4
17,Eos / Waukee Northwest High School,1889,Studio / Urbandale High School,1952,3
18,Innovation / Johnston High School,1848,Tiger Rhythm / Broken Arrow High School,1943,3
19,Flight / Wheaton North High School,1846,Northside Establishment / Davenport North High School,1814,2
20,Emerald Elegance / Winfield High School,1839,General Admission / Winfield High School,1551,2
21,The Network / Homewood High School,1834,Accents / Avon High School,1697,1
22,Music in Motion / Solon High School,1820,The Company / Piqua High School,1728,3
23,West in the Groove / Millard West High School,1815,Equinox / Gretna East High School,1893,1
24,Northside Establishment / Davenport North High School,1814,Good Time Company / Iowa City West High School,1653,3
25,Synergy / Tupelo High School,1811,Riverside Company / Hastings High School,1740,3
26,Royalaires / Zionsville High School,1805,Counterpoints / North Central High School,1754,1
27,First Edition / Findlay High School,1804,Music in Motion / Solon High School,1820,2
28,FC Singers / Franklin Central High School,1800,Counterpoints / North Central High School,1754,2
29,Choraleers / Neosho High School,1799,Soundwave / Carthage Senior High School,1625,2
30,Brio / Brandon High School,1782,Synergy / Tupelo High School,1811,2
31,Jam Session / De Pere High School,1772,Sound Check / Waubonsie Valley High School,1632,1
32,Powerhouse / John Burroughs High School,1762,N/A,-1,0
33,Imagination / West Jones High School,1762,The Network / Homewood High School,1834,2
34,Millennium / Waukee High School,1761,4th Avenue Jazz Company / Iowa City High School,1745,1
35,Royal Rhapsody / Roncalli High School,1756,Red Hot / Hurricane High School,1665,1
36,Counterpoints / North Central High School,1754,Singers / Oak Mountain High School,1733,2
37,4th Avenue Jazz Company / Iowa City High School,1745,Riverside Company / Hastings High School,1740,3
38,Riverside Company / Hastings High School,1740,Jefferson Connection / Bloomington Jefferson High School,1630,1
39,Soundsations / Petal High School,1738,Red Hot / Hurricane High School,1665,1
40,Express / Dwight D. Eisenhower High School,1734,Swingsations / Mt. Zion High School,1702,1
41,Singers / Oak Mountain High School,1733,Radica / Briarwood Christian School,1652,1
42,Classic Connection / Sioux Falls Washington High School,1730,The Ambassadors / Omaha South High School,1720,1
43,The Company / Piqua High School,1728,Touch of Class / Grove City High School,1724,3
44,Touch of Class / Grove City High School,1724,First Edition / Findlay High School,1804,2
45,The Ambassadors / Omaha South High School,1720,The Headliners / Sioux City East High School,1674,2
46,Rhythm Masters / Whiteland Community High School,1719,Heritage Singers / Franklin Community High School,1507,1
47,Magic / Carroll High School,1719,Flight / Wheaton North High School,1846,1
48,Blackout / Elkhorn South High School,1718,The Ambassadors / Omaha South High School,1720,2
49,Amazing Technicolor Show Choir / Westside High School,1718,West in the Groove / Millard West High School,1815,2
50,First Edition / Lafayette Jefferson High School,1716,Class Royale / Homestead High School,1518,2
51,Happiness Inc. / Cedar Rapids Kennedy High School,1716,Good Time Company / Iowa City West High School,1653,2
52,Spotlight / Cosby High School,1714,Just For Show / Midlothian High School,1601,2
53,Resonance / Lincoln Southwest High School,1712,Titanium / Papillion-La Vista South High School,1619,1
54,Satisfaction / Sioux Center High School,1711,Classic Connection / Sioux Falls Washington High School,1730,1
55,Soundwave / Warrensburg High School,1708,Soundsational Singers / Nevada High School,1425,1
56,adrENaline / Elkhorn North High School,1708,Blackout / Elkhorn South High School,1718,1
57,Hilltoppers / Onalaska High School,1707,Good Time Company / Iowa City West High School,1653,2
58,Swingsations / Mt. Zion High School,1702,Choraleers / Neosho High School,1799,2
59,Choraliers / Fairfield Senior High School,1700,By Request / Loveland High School,1673,1
60,VIBE / Daniel Hand High School,1697,Choraliers / Fairfield Senior High School,1700,4
61,Accents / Avon High School,1697,Knight Sensations / Castle High School,1577,2
62,River City Revue / Hannibal High School,1690,RAMification / Southeast Polk High School,1610,2
63,Reveillon / Jackson Preparatory School,1689,N/A,-1,0
64,Blue Lights / Keller High School,1686,Voices of Central / Keller Central High School,1664,1
65,Oak Street Singers / Oak Park High School,1676,Suite Sounds / Carthage Senior High School,1487,2
66,The Headliners / Sioux City East High School,1674,Satisfaction / Sioux Center High School,1711,0
67,By Request / Loveland High School,1673,The Company / Piqua High School,1728,1
68,Spotlight Singers & Company / Brownsburg High School,1672,Belles et Beaux / Plainfield High School,1510,1
69,Friend de Coup / Mitchell High School,1671,Happiness Inc. / Cedar Rapids Kennedy High School,1716,0
70,Vista Ridge Rhythm / Vista Ridge High School,1666,Aspyre / Vista PEAK Preparatory,1596,1
71,Sound FX / Los Alamitos High School,1666,N/A,-1,0
72,Infinity / Millard North High School,1666,4th Avenue Jazz Company / Iowa City High School,1745,0
73,Red Hot / Hurricane High School,1665,High Impact / Matoaca High School,1563,2
74,Voices of Central / Keller Central High School,1664,Blue Lights / Keller High School,1686,0
75,Sudden Impact / Ottumwa High School,1660,Swingspan / Fort Madison High School,1546,2
76,Express / Troy Buchanan High School,1659,Swingsations / Mt. Zion High School,1702,1
77,Varsity Singers / Huntington North High School,1657,City Heat / Columbia City High School,1415,1
78,Good Time Company / Iowa City West High School,1653,Sudden Impact / Ottumwa High School,1660,1
79,Southern Accents / Lexington High School,1652,Encore / Cole Camp High School,1516,1
80,Radica / Briarwood Christian School,1652,Visions / Grenada High School,1594,1
81,Keynotes / Olentangy High School,1645,Touch of Class / Grove City High School,1724,1
82,Sound Check / Waubonsie Valley High School,1632,Sandpipers / Chesterton High School,1630,0
83,Varsity Chorale / Euclid High School,1631,First Edition / Scranton High School,1537,2
84,Jefferson Connection / Bloomington Jefferson High School,1630,Vocalmotive / Bemidji High School,1597,2
85,Sandpipers / Chesterton High School,1630,Good Time Company / Iowa City West High School,1653,1
86,Step on Stage / Horizon High School,1627,Vocal Thunder / Valley Vista High School,1548,1
87,Power Company / Waconia High School,1627,Riverside Company / Hastings High School,1740,1
88,Soundwave / Carthage Senior High School,1625,Oak Street Singers / Oak Park High School,1676,1
89,NHS Singers / Noblesville High School,1624,The Company / Piqua High School,1728,1
90,River City Revolution / La Crosse High Schools,1621,Rhythm In Gold / Bloomington Kennedy High School,1904,3
91,Titanium / Papillion-La Vista South High School,1619,The Ambassadors / Omaha South High School,1720,0
92,Singers / Webb City High School,1617,Sound Dimension / Joplin High School,1550,1
93,Harmonia Mundi / Bishop Heelan Catholic School,1616,High Voltage / Emmetsburg High School,1540,1
94,Light Inc. / Des Moines Christian School,1613,Satisfaction / Sioux Center High School,1711,1
95,Sound / Mundelein High School,1611,Express / Dwight D. Eisenhower High School,1734,1
96,Synergy / Johnston High School,1611,N/A,-1,0
97,RAMification / Southeast Polk High School,1610,Good Time Company / Iowa City West High School,1653,0
98,Reveille / Madison Central High School,1610,N/A,-1,0
99,AcaPella / Pella High School,1605,Good Time Company / Iowa City West High School,1653,0
100,Spectrum / Pius X High School,1604,Chain Reaction / Lincoln High School,1482,1
101,Chamber Singers / Blue Valley High School,1602,River City Revue / Hannibal High School,1690,0
102,Just For Show / Midlothian High School,1601,Capital Swing / Manchester High School,1525,0
103,Vocalmotive / Bemidji High School,1597,Northern Lights / North St. Paul High School,1444,1
104,Premiers / Ben Davis High School,1597,Central Sound / Lawrence Central High School,1394,1
105,Aspyre / Vista PEAK Preparatory,1596,Ascension / Vista PEAK Preparatory,1565,0
106,Visions / Grenada High School,1594,The Ambassadors / Northwest Rankin High School,1551,0
107,Act II / Edmond Memorial High School,1594,Serenade / Edmond Santa Fe High School,1508,1
