rank,name,elo,bestWin,bestWinElo,GCs
1,Sound Check / Waubonsie Valley High School,2114,Titan Fever / Glenwood High School,1960,4
2,Spectrum / Ankeny Centennial High School,1988,Millennium / Waukee High School,1821,4
3,Sound System / Center Grove High School,1974,Royalaires / Zionsville High School,1929,4
4,Titan Fever / Glenwood High School,1960,Entourage / Naperville North High School,1869,3
5,Attaché / Clinton High School,1960,Varsity Singers / Auburn High School,1656,2
6,Innovation / Johnston High School,1938,Studio / Urbandale High School,1881,3
7,Royalaires / Zionsville High School,1929,Music Warehouse / Edgewood High School,1849,3
8,F.C. Singers / Franklin Central High School,1906,Sound System / Center Grove High School,1974,3
9,Riverside Company / Hastings High School,1905,10th Street Edition / Linn-Mar High School,1865,5
10,Ambassadors / Carmel High School,1882,F.C. Singers / Franklin Central High School,1906,3
11,Studio / Urbandale High School,1881,The Headliners / Sioux City East High School,1759,3
12,In Sync / Burbank High School,1877,By Request / Loveland High School,1824,1
13,Entourage / Naperville North High School,1869,Riverside Company / Hastings High School,1905,2
14,10th Street Edition / Linn-Mar High School,1865,The Classics / Wheaton Warrenville South High School,1824,1
15,Expressions / Buffalo Grove High School,1850,Friend de Coup / Mitchell High School,1750,2
16,Music Warehouse / Edgewood High School,1849,Fantasy / Shepherd Hill Regional High School,1666,3
17,Choraliers / Fairfield Senior High School,1839,Music Warehouse / Edgewood High School,1849,2
18,By Request / Loveland High School,1824,Show Cards / Colerain High School,1818,3
19,The Classics / Wheaton Warrenville South High School,1824,The Headliners / Sioux City East High School,1759,1
20,Swingsations / Mt. Zion High School,1822,Titan Fever / Glenwood High School,1960,2
21,Millennium / Waukee High School,1821,10th Street Edition / Linn-Mar High School,1865,1
22,First Edition / Findlay High School,1819,By Request / Loveland High School,1824,4
23,Show Cards / Colerain High School,1818,New Dimensions / Clover Hill High School,1754,4
24,Hillside Singers / Pleasant Hill High School,1816,City Lights / Rock Bridge High School,1728,3
25,Amazing Technicolor Show Choir / Westside High School,1809,Resonance / Lincoln Southwest High School,1762,4
26,Sound FX / Los Alamitos High School,1808,Amazing Technicolor Show Choir / Westside High School,1809,1
27,Hilltoppers / Onalaska High School,1792,Midwest Express / Holmen High School,1738,3
28,Excel / Elkhorn High School,1791,14 Karat Gold / Grand Island Northwest High School,1582,2
29,Great Expectations / Twinsburg High School,1783,Friends / Beavercreek High School,1625,1
30,Athenians / Gateway High School,1782,Venus / Gateway High School,1637,1
31,Belles et Beaux / Plainfield High School,1768,Music Warehouse / Edgewood High School,1849,1
32,Powerhouse / John Burroughs High School,1767,Riverside Company / Hastings High School,1905,0
33,Central Singers Inc. / Davenport Central High School,1767,Grand Central Station / La Crosse Central High School,1702,2
34,Resonance / Lincoln Southwest High School,1762,The Classics / Wheaton Warrenville South High School,1824,2
35,The Headliners / Sioux City East High School,1759,Hilltoppers / Onalaska High School,1792,2
36,Rhythm in Gold / Bloomington Kennedy High School,1758,Hilltoppers / Onalaska High School,1792,4
37,New Dimensions / Clover Hill High School,1754,By Request / Loveland High School,1824,2
38,Friend de Coup / Mitchell High School,1750,The Headliners / Sioux City East High School,1759,3
39,Swingers Unlimited / Marysville High School,1748,By Request / Loveland High School,1824,1
40,New Creation / Marion High School,1742,Light Inc. / Des Moines Christian School,1572,1
41,Midwest Express / Holmen High School,1738,Momentum / Cedar Rapids Washington High School,1626,1
42,Express / Troy Buchanan High School,1736,Choraliers / Fairfield Senior High School,1839,1
43,City Lights / Rock Bridge High School,1728,Satin 'n Lace / Rock Bridge High School,1606,2
44,Counterpoints / North Central High School,1727,Music Warehouse / Edgewood High School,1849,1
45,Voices in Motion / Duke Ellington School of the Arts,1726,Sound FX / Hanover High School,1673,1
46,Blackout / Elkhorn South High School,1725,10th Street Edition / Linn-Mar High School,1865,0
47,Tiger Rhythm / Broken Arrow High School,1718,Flight / Wichita All-City,1663,3
48,Rhythm In Red / Cabell Midland High School,1712,Friends / Beavercreek High School,1625,2
