rank,name,elo,bestWin,bestWinElo,GCs
1,10th Street Edition / Linn-Mar High School,2102,Innovation / Johnston High School,1989,4
2,Sound System / Center Grove High School,2056,Ambassadors / Carmel High School,1988,6
3,Revolution / Gretna High School,2050,Riverside Company / Hastings High School,1826,5
4,Attaché / Clinton High School,2008,Visions / Grenada High School,1826,3
5,Innovation / Johnston High School,1989,Visual Adrenaline / Ankeny High School,1889,3
6,Ambassadors / Carmel High School,1988,Swingers Unlimited / Marysville High School,1910,4
7,Express / Lincoln East High School,1973,Spectrum / Ankeny Centennial High School,1919,3
8,Tiger Rhythm / Broken Arrow High School,1938,Blue Lights / Keller High School,1733,3
9,The All Americans / ETC School of Musical Arts,1933,Red Hot / Hurricane High School,1816,4
10,Spectrum / Ankeny Centennial High School,1919,Studio / Urbandale High School,1866,1
11,Swingers Unlimited / Marysville High School,1910,Music in Motion / Solon High School,1815,5
12,West in the Groove / Millard West High School,1908,Swingsations / Mt. Zion High School,1893,3
13,Swingsations / Mt. Zion High School,1893,Choraleers / Neosho High School,1813,3
14,Visual Adrenaline / Ankeny High School,1889,Riverside Company / Hastings High School,1826,3
15,Counterpoints / North Central High School,1883,Swingsations / Mt. Zion High School,1893,2
16,FC Singers / Franklin Central High School,1869,Swingsations / Mt. Zion High School,1893,3
17,Studio / Urbandale High School,1866,Millennium / Waukee High School,1828,1
18,Spectrum / Pius X High School,1865,The Ambassadors / Omaha South High School,1717,3
19,Resonance / Lincoln Southwest High School,1864,Express / Lincoln East High School,1973,3
20,The Network / Homewood High School,1856,Visions / Grenada High School,1826,3
21,Powerhouse / John Burroughs High School,1851,Express / Troy Buchanan High School,1789,1
22,Spotlight / Cosby High School,1846,Varsity Singers / Auburn High School,1710,4
23,Central Singers Inc. / Davenport Central High School,1838,Choralation / Valley High School,1749,3
24,Royalaires / Zionsville High School,1837,Red Hot / Hurricane High School,1816,3
25,Millennium / Waukee High School,1828,Modulations / El Paso-Gridley High School,1717,2
26,Visions / Grenada High School,1826,Brio / Brandon High School,1820,2
27,Riverside Company / Hastings High School,1826,Amazing Technicolor Show Choir / Westside High School,1761,1
28,Sound FX / Los Alamitos High School,1824,Royalaires / Zionsville High School,1837,0
29,Brio / Brandon High School,1820,Swingers Unlimited / Marysville High School,1910,2
30,Red Hot / Hurricane High School,1816,NHS Singers / Noblesville High School,1670,4
31,Music in Motion / Solon High School,1815,Touch of Class / Grove City High School,1742,3
32,Eos / Waukee Northwest High School,1814,Choralation / Valley High School,1749,1
33,Choraleers / Neosho High School,1813,BV Singers / Blue Valley High School,1800,4
34,The Classics / Wheaton Warrenville South High School,1802,Express / Lincoln East High School,1973,2
35,BV Singers / Blue Valley High School,1800,Sound Dimension / Joplin High School,1580,2
36,Executive Suite / Sioux Falls Roosevelt High School,1796,Eagle Express / Aberdeen Central High School,1702,2
37,Express / Troy Buchanan High School,1789,Trojanaires / Jenks High School,1719,3
38,Flight / Wheaton North High School,1788,Varsity Singers / Huntington North High School,1742,2
39,Amazing Technicolor Show Choir / Westside High School,1761,West in the Groove / Millard West High School,1908,1
40,Choralation / Valley High School,1749,Light Inc. / Des Moines Christian School,1680,0
41,Touch of Class / Grove City High School,1742,First Edition / Findlay High School,1693,2
42,Varsity Singers / Huntington North High School,1742,General Admission / Winfield High School,1629,3
43,Sandpipers / Chesterton High School,1741,Express / Troy Buchanan High School,1789,2
44,Singers / Oak Mountain High School,1739,Soundsations / Petal High School,1739,2
45,Soundsations / Petal High School,1739,Voices of Central / Keller Central High School,1679,2
46,Belles et Beaux / Plainfield High School,1734,Rhythm Masters / Whiteland Community High School,1615,2
47,Blue Lights / Keller High School,1733,Voices of Central / Keller Central High School,1679,2
48,Jam Session / De Pere High School,1733,Limited Edition / Tomah High School,1625,2
49,Friend de Coup / Mitchell High School,1725,The Ambassadors / Omaha South High School,1717,1
50,Infinity / Millard North High School,1725,Executive Suite / Sioux Falls Roosevelt High School,1796,1
51,Power Company / Waconia High School,1724,Riverside Company / Hastings High School,1826,3
52,Rhythm In Gold / Bloomington Kennedy High School,1719,Executive Suite / Sioux Falls Roosevelt High School,1796,2
53,Trojanaires / Jenks High School,1719,River City Revue / Hannibal High School,1660,1
54,The Ambassadors / Omaha South High School,1717,Eagle Express / Aberdeen Central High School,1702,1
55,Modulations / El Paso-Gridley High School,1717,Flight / Wheaton North High School,1788,3
56,4th Avenue Jazz Company / Iowa City High School,1715,Central Singers Inc. / Davenport Central High School,1838,2
57,Varsity Singers / Auburn High School,1710,The Network / Homewood High School,1856,2
58,Spotlight Singers & Company / Brownsburg High School,1702,Belles et Beaux / Plainfield High School,1734,1
59,Eagle Express / Aberdeen Central High School,1702,Executive Suite / Sioux Falls Roosevelt High School,1796,3
