rank,name,elo,bestWin,bestWinElo,GCs
1,Flight / Wheaton North High School,2078,Studio / Urbandale High School,1978,4
2,Attaché / Clinton High School,2055,Varsity Singers / Auburn High School,1864,3
3,Sound FX / Los Alamitos High School,2038,Titan Fever / Glenwood High School,1928,1
4,10th Street Edition / Linn-Mar High School,2027,Visual Adrenaline / Ankeny High School,1902,3
5,F.C. Singers / Franklin Central High School,1988,Royalaires / Zionsville High School,1902,4
6,Studio / Urbandale High School,1978,Visual Adrenaline / Ankeny High School,1902,3
7,Amazing Technicolor Show Choir / Westside High School,1950,Resonance / Lincoln Southwest High School,1891,5
8,Titan Fever / Glenwood High School,1928,Flight / Wheaton North High School,2078,2
9,Royalaires / Zionsville High School,1902,Minstrel Magic / Carroll High School,1884,3
10,Visual Adrenaline / Ankeny High School,1902,The Headliners / Sioux City East High School,1879,3
11,Innovation / Johnston High School,1897,Visual Adrenaline / Ankeny High School,1902,2
12,Choraliers / Fairfield Senior High School,1892,Ambassadors / Carmel High School,1813,4
13,Resonance / Lincoln Southwest High School,1891,Titanium / Papillion-La Vista South High School,1812,2
14,Minstrel Magic / Carroll High School,1884,Sound System / Center Grove High School,1777,4
15,The Headliners / Sioux City East High School,1879,RAMification / Southeast Polk High School,1722,4
16,In Sync / Burbank High School,1878,Swingers Unlimited / Marysville High School,1862,1
17,Friends / Beavercreek High School,1870,Minstrel Magic / Carroll High School,1884,2
18,Varsity Singers / Auburn High School,1864,The Network / Homewood High School,1818,2
19,Swingers Unlimited / Marysville High School,1862,Spectrum / Ankeny Centennial High School,1761,4
20,Red Hot / Hurricane High School,1859,Friends / Beavercreek High School,1870,5
21,Vocalmotive / Bemidji High School,1858,Riverside Company / Hastings High School,1813,1
22,Hilltoppers / Onalaska High School,1853,Resonance / Lincoln Southwest High School,1891,3
23,Company of Singers / Totino-Grace High School,1826,The Class Act / Logan High School,1739,2
24,Pointe Singers / Grosse Pointe South High School,1826,Knight Moves / Norwell High School,1817,2
25,The Network / Homewood High School,1818,Soundsations / Petal High School,1772,3
26,Knight Moves / Norwell High School,1817,Knight Stars / Norwell High School,1640,2
27,Ambassadors / Carmel High School,1813,First Edition / Findlay High School,1768,2
28,Riverside Company / Hastings High School,1813,10th Street Edition / Linn-Mar High School,2027,4
29,Titanium / Papillion-La Vista South High School,1812,Infinity / Millard North High School,1757,2
30,Counterpoints / North Central High School,1809,Premiers / Ben Davis High School,1621,1
31,City Lights / Rock Bridge High School,1807,Soundsational Singers / Nevada High School,1624,1
32,West Connection / Bellevue West High School,1800,South on Stage / Millard South High School,1610,3
33,Sound System / Center Grove High School,1777,Riverside Company / Hastings High School,1813,0
34,Celebration Co. / Benton Community High School,1776,Purple Harmony / Keokuk High School,1748,3
35,Accents / Carmel High School,1774,Ambassadors / Carmel High School,1813,0
