rank,name,elo,bestWin,bestWinElo,GCs
1,Ambassadors / Carmel High School,1955,Varsity Singers / Huntington North High School,1789,3
2,Studio / Urbandale High School,1931,Amazing Technicolor Show Choir / Westside High School,1928,4
3,Amazing Technicolor Show Choir / Westside High School,1928,Riverside Company / Hastings High School,1824,4
4,Expressions / Buffalo Grove High School,1917,Sound Check / Waubonsie Valley High School,1914,3
5,Sound Check / Waubonsie Valley High School,1914,Expressions / Buffalo Grove High School,1917,3
6,Visual Adrenaline / Ankeny High School,1846,Amazing Technicolor Show Choir / Westside High School,1928,1
7,Choraliers / Fairfield Senior High School,1843,Keynotes / Olentangy High School,1736,5
8,Vocalmotive / Bemidji High School,1839,Grand Central Station / La Crosse Central High School,1735,2
9,Images / Morgantown High School,1834,Knight Scene / Thomas Dale High School,1675,1
10,Riverside Company / Hastings High School,1824,Vocalmotive / Bemidji High School,1839,4
11,Attaché / Clinton High School,1816,Impact / Pascagoula High School,1649,2
12,Xhilaration / Xavier High School,1815,The Ambassadors / Prairie High School,1759,3
13,Counterpoints / North Central High School,1805,The Classics / Wheaton Warrenville South High School,1765,1
14,Visual Volume / Poca High School,1796,Good Times / Martinsburg High School,1690,2
15,Varsity Singers / Huntington North High School,1789,Classic Connection / DeKalb High School,1673,1
16,Elite Energy / Eisenhower High School,1776,Amazing Technicolor Show Choir / Westside High School,1928,0
17,Sound System / Center Grove High School,1772,Visual Adrenaline / Ankeny High School,1846,2
18,10th Street Edition / Linn-Mar High School,1771,Riverside Company / Hastings High School,1824,2
19,The Classics / Wheaton Warrenville South High School,1765,Choraliers / Fairfield Senior High School,1843,2
20,The Ambassadors / Prairie High School,1759,Central Singers Inc. / Davenport Central High School,1699,3
21,Capital Swing / Manchester High School,1755,Current Edition / James River High School,1690,3
22,Wave Connection / Tupelo High School,1741,Company / South Jones Jr/Sr High School,1613,1
23,Ovations / Opelika High School,1739,Impact / Pascagoula High School,1649,2
24,Keynotes / Olentangy High School,1736,Sound System / Center Grove High School,1772,2
25,Grand Central Station / La Crosse Central High School,1735,Central Singers Inc. / Davenport Central High School,1699,2
26,Central Sound / Lawrence Central High School,1726,Sound System / Center Grove High School,1772,3
27,Happiness Inc. / Cedar Rapids Kennedy High School,1713,Visual Adrenaline / Ankeny High School,1846,2
28,In Sync / Burbank High School,1703,Counterpoints / North Central High School,1805,1
29,14 Karat Gold / Grand Island Northwest High School,1702,The Headliners / Sioux City East High School,1687,2
30,Spotlight Singers & Company / Brownsburg High School,1700,Knight Moves / Norwell High School,1503,2
31,Central Singers Inc. / Davenport Central High School,1699,Xhilaration / Xavier High School,1815,2
32,Swingsations / Mt. Zion High School,1698,Amazing Technicolor Show Choir / Westside High School,1928,3
33,The Company / Piqua High School,1695,Classic Connection / DeKalb High School,1673,2
34,Good Times / Martinsburg High School,1690,Current Edition / James River High School,1690,2
35,Current Edition / James River High School,1690,Knight Scene / Thomas Dale High School,1675,1
36,The Headliners / Sioux City East High School,1687,Rhythm in Gold / Bloomington Kennedy High School,1656,0
37,Hillside Singers / Pleasant Hill High School,1685,Northside Establishment / Davenport North High School,1654,1
38,F.C. Singers / Franklin Central High School,1684,Counterpoints / North Central High School,1805,2
39,Sound / Mundelein High School,1677,Rhythm in Gold / Bloomington Kennedy High School,1656,2
40,Knight Scene / Thomas Dale High School,1675,Amherechos / Amherst County High School,1545,0
41,Classic Connection / DeKalb High School,1673,Swingers Unlimited / Marysville High School,1668,3
42,The Class Act / Logan High School,1672,Center Stage / Preble High School,1625,2
43,Swingers Unlimited / Marysville High School,1668,Elite Energy / Eisenhower High School,1776,2
44,Powerhouse / John Burroughs High School,1666,Counterpoints / North Central High School,1805,1
45,Encores / Pike High School,1658,Counterpoints / North Central High School,1805,1
46,Orange Sensations / Wayne County High School,1656,Premiers / Columbia Academy,1579,1
47,Rhythm in Gold / Bloomington Kennedy High School,1656,Company of Singers / Totino-Grace High School,1644,0
48,Innovation / Johnston High School,1655,Riverside Company / Hastings High School,1824,0
49,Northside Establishment / Davenport North High School,1654,River City Rhythm / Muscatine High School,1568,1
50,Impact / Pascagoula High School,1649,Happiness Inc. / Cedar Rapids Kennedy High School,1713,0
51,First Edition / Lafayette Jefferson High School,1645,Sound / Mundelein High School,1677,0
52,Belles et Beaux / Plainfield High School,1645,Visual Volume / Poca High School,1796,1
53,Company of Singers / Totino-Grace High School,1644,Rhythm in Gold / Bloomington Kennedy High School,1656,1
54,Corporation / Lewis Central High School,1641,West in the Groove / Millard West High School,1600,1
55,Choralation / Milton High School,1640,Central Singers Inc. / Davenport Central High School,1699,1
56,Delegation / Danville High School,1635,Cavaliers / Crete-Monee High School,1599,2
57,First Edition / Findlay High School,1626,Keynotes / Olentangy High School,1736,2
58,Center Stage / Preble High School,1625,Executive Session / Sauk Prairie High School,1548,1
59,Resonance / Lincoln Southwest High School,1625,Hillside Singers / Pleasant Hill High School,1685,2
60,Show Cards / Colerain High School,1620,Current Edition / James River High School,1690,0
61,Rebelaires / Westwood Jr/Sr High School,1618,Crimson And Black / LeMars Community High School,1594,1
62,Company / South Jones Jr/Sr High School,1613,Impact / Pascagoula High School,1649,0
63,Choralation / Valley High School,1612,Resonance / Lincoln Southwest High School,1625,0
64,Impulse / Wahlert Catholic High School,1611,Spotlighters / Craig High School,1537,0
65,Sandpipers / Chesterton High School,1610,Magic / Manteno High School,1507,1
66,CenterStage! / Albertville High School,1608,Wave Connection / Tupelo High School,1741,1
67,The Music Machine / Bonita Vista High School,1601,Capital Swing / Manchester High School,1755,0
68,West in the Groove / Millard West High School,1600,Innovation / Johnston High School,1655,2
69,Cavaliers / Crete-Monee High School,1599,Noteables / Pekin Community High School,1579,1
70,Gold Rush / Eldorado High School,1598,Continentals / Sandia High School,1526,1
71,Crimson And Black / LeMars Community High School,1594,Rebelaires / Westwood Jr/Sr High School,1618,0
72,Scarlet Rhapsody / Rancho Verde High School,1587,N/A,-1,0
73,Prominent Rendition / Teays Valley High School,1586,Show Cards / Colerain High School,1620,1
74,Commotion / Holy Trinity Jr/Sr High School,1585,Christopher Jive and the Uptown 45 / West Branch High School,1439,1
75,Masquerade / Brea Olinda High School,1583,N/A,-1,0
76,Great Expectations / Twinsburg High School,1582,Keynotes / Olentangy High School,1736,1
77,Noteables / Pekin Community High School,1579,Magic / Manteno High School,1507,1
78,Premiers / Columbia Academy,1579,Cabaret / Biloxi High School,1456,0
79,Sound Vibrations / Hart High School,1579,Singers / Sullivan High School,1548,0
80,Revolution / Gretna High School,1568,Explosion! / Omaha North High School,1552,1
81,River City Rhythm / Muscatine High School,1568,Varsity Show Choir / Des Moines Roosevelt High School,1509,0
82,Sound FX / Los Alamitos High School,1566,N/A,-1,0
83,Soundsations / Petal High School,1565,Impact / Pascagoula High School,1649,2
84,Sound Express / Carlsbad High School,1565,N/A,-1,0
85,Titanium / Papillion-La Vista South High School,1562,Soundsational Singers / Nevada High School,1513,0
86,Friend de Coup / Mitchell High School,1557,Corporation / Lewis Central High School,1641,0
87,Royal Stewart Singers / Glendora High School,1556,N/A,-1,0
88,Main Attraction / Chula Vista High School,1555,N/A,-1,0
89,Red Hot / Hurricane High School,1554,Great Expectations / Twinsburg High School,1582,0
90,Marquis / Diamond Bar High School,1553,N/A,-1,0
91,Explosion! / Omaha North High School,1552,Pure Crimson & Gold / Omaha Northwest High School,1456,0
