rank,name,elo,bestWin,bestWinElo,GCs
1,10th Street Edition / Linn-Mar High School,2055,Spectrum / Ankeny Centennial High School,1913,4
2,Sound System / Center Grove High School,2055,Ambassadors / Carmel High School,1988,4
3,Sound FX / Los Alamitos High School,2015,Spectrum / Ankeny Centennial High School,1913,1
4,Friend de Coup / Mitchell High School,1994,Free Spirit / Papillion-La Vista High School,1844,4
5,Ambassadors / Carmel High School,1988,Sound System / Center Grove High School,2055,4
6,Attaché / Clinton High School,1983,Singers / Oak Mountain High School,1710,3
7,Amazing Technicolor Show Choir / Westside High School,1961,Free Spirit / Papillion-La Vista High School,1844,4
8,Swingers Unlimited / Marysville High School,1961,By Request / Loveland High School,1799,5
9,Innovation / Johnston High School,1955,Choralation / Valley High School,1828,2
10,Spectrum / Ankeny Centennial High School,1913,Titanium / Papillion-La Vista South High School,1853,3
11,Choraleers / Neosho High School,1909,Hillside Singers / Pleasant Hill High School,1623,5
12,Central Singers Inc. / Davenport Central High School,1890,Flight / Wheaton North High School,1724,3
13,F.C. Singers / Franklin Central High School,1888,Sound System / Center Grove High School,2055,2
14,Riverside Company / Hastings High School,1874,West in the Groove / Millard West High School,1843,3
15,Royalaires / Zionsville High School,1872,Swingsations / Mt. Zion High School,1788,2
16,Titanium / Papillion-La Vista South High School,1853,Amazing Technicolor Show Choir / Westside High School,1961,4
17,Modulations / El Paso-Gridley High School,1846,Entourage / Naperville North High School,1645,5
18,Free Spirit / Papillion-La Vista High School,1844,Power Company / Waconia High School,1786,2
19,Music Unlimited / Waltham High School,1843,Fantasy / Shepherd Hill Regional High School,1637,4
20,West in the Groove / Millard West High School,1843,Friend de Coup / Mitchell High School,1994,2
21,Express / Troy Buchanan High School,1833,Titanium / Papillion-La Vista South High School,1853,3
22,Choralation / Valley High School,1828,Visual Adrenaline / Ankeny High School,1774,1
23,Studio / Urbandale High School,1825,Titanium / Papillion-La Vista South High School,1853,0
24,Red Hot / Hurricane High School,1825,First Edition / Lafayette Jefferson High School,1704,5
25,The Classics / Wheaton Warrenville South High School,1822,Riverside Company / Hastings High School,1874,5
26,By Request / Loveland High School,1799,Red Hot / Hurricane High School,1825,5
27,The Company / Piqua High School,1791,Red Hot / Hurricane High School,1825,2
28,Swingsations / Mt. Zion High School,1788,Brio / Brandon High School,1772,2
29,Powerhouse / John Burroughs High School,1788,Tiger Rhythm / Broken Arrow High School,1736,1
30,Power Company / Waconia High School,1786,Riverside Company / Hastings High School,1874,3
31,Infinity / Millard North High School,1778,Vocalmotive / Bemidji High School,1721,1
32,Visual Adrenaline / Ankeny High School,1774,Eos / Waukee Northwest High School,1759,1
33,Brio / Brandon High School,1772,Varsity Singers / Auburn High School,1681,4
34,Double Time / Excelsior Middle School,1765,Adrenaline / Taft Middle School,1554,1
35,Eos / Waukee Northwest High School,1759,Titanium / Papillion-La Vista South High School,1853,1
36,Counterpoints / North Central High School,1758,First Edition / Lafayette Jefferson High School,1704,1
37,New Dimensions / Clover Hill High School,1756,Spotlight / Cosby High School,1679,4
38,Scarlet Knights / Bishop Neumann High School,1755,Forte / Aquinas High School,1539,1
39,RAMification / Southeast Polk High School,1736,Central Singers Inc. / Davenport Central High School,1890,2
40,Tiger Rhythm / Broken Arrow High School,1736,Hillside Singers / Pleasant Hill High School,1623,2
41,Gold / Norris High School,1734,Power Company / Waconia High School,1786,2
42,The Network / Homewood High School,1727,Titan Fever / Glenwood High School,1592,2
43,Hilltoppers / Onalaska High School,1725,Executive Session / Sauk Prairie High School,1660,1
44,NHS Singers / Noblesville High School,1724,First Edition / Lafayette Jefferson High School,1704,3
45,Executive Suite / Sioux Falls Roosevelt High School,1724,14 Karat Gold / Grand Island Northwest High School,1706,1
46,Flight / Wheaton North High School,1724,The Network / Homewood High School,1727,0
47,Ultimate Image / Grand Island Senior High School,1721,KHS Pops / Kearney High School,1598,2
48,Vocalmotive / Bemidji High School,1721,Executive Session / Sauk Prairie High School,1660,2
49,AcaPella / Pella High School,1712,Summit Street Singers / Center Point-Urbana High School,1631,2
50,Singers / Oak Mountain High School,1710,Brio / Brandon High School,1772,1
51,14 Karat Gold / Grand Island Northwest High School,1706,Ultimate Image / Grand Island Senior High School,1721,3
52,First Edition / Lafayette Jefferson High School,1704,Singers / Oak Mountain High School,1710,2
53,Resonance / Lincoln Southwest High School,1698,Infinity / Millard North High School,1778,0
54,Electrum / Fishers High School,1697,Counterpoints / North Central High School,1758,1
55,South on Stage / Millard South High School,1696,14 Karat Gold / Grand Island Northwest High School,1706,3
56,Soundsations / Texas City High School,1694,Southwest Effect / Fort Worth Southwest High School,1578,1
57,Rhythm / Vista Ridge High School,1686,Cardinal & Black Singers / Harvard High School,1555,0
58,Blackout / Elkhorn South High School,1684,Ultimate Image / Grand Island Senior High School,1721,1
