rank,name,elo,bestWin,bestWinElo,GCs
1,VIBE / Daniel Hand High School,2122,Panache / Oliver Ames High School,1619,2
2,The Classics / Wheaton Warrenville South High School,2070,Millennium / Waukee High School,1964,4
3,Grand Central Station / La Crosse Central High School,2013,Sound Check / Waubonsie Valley High School,1930,4
4,Expressions / Buffalo Grove High School,1992,Studio / Urbandale High School,1819,3
5,Millennium / Waukee High School,1964,Happiness Inc. / Cedar Rapids Kennedy High School,1916,3
6,Attaché / Clinton High School,1951,The Network / Homewood High School,1704,2
7,Ambassadors / Carmel High School,1947,Varsity Singers / Huntington North High School,1699,2
8,Sound Check / Waubonsie Valley High School,1930,Expressions / Buffalo Grove High School,1992,3
9,Happiness Inc. / Cedar Rapids Kennedy High School,1916,10th Street Edition / Linn-Mar High School,1881,5
10,Music in Motion / Solon High School,1906,F.C. Singers / Franklin Central High School,1903,5
11,F.C. Singers / Franklin Central High School,1903,Sound Check / Waubonsie Valley High School,1930,3
12,Visual Adrenaline / Ankeny High School,1895,Studio / Urbandale High School,1819,2
13,Amazing Technicolor Show Choir / Westside High School,1888,Riverside Company / Hastings High School,1817,4
14,10th Street Edition / Linn-Mar High School,1881,Grand Central Station / La Crosse Central High School,2013,3
15,Good Times / Martinsburg High School,1866,Spotlight / Cosby High School,1671,2
16,Royalaires / Zionsville High School,1854,The Network / Homewood High School,1704,3
17,Studio / Urbandale High School,1819,Visual Adrenaline / Ankeny High School,1895,2
18,Riverside Company / Hastings High School,1817,Studio / Urbandale High School,1819,3
19,Sound System / Center Grove High School,1793,Royalaires / Zionsville High School,1854,4
20,Company of Singers / Totino-Grace High School,1791,Amazing Technicolor Show Choir / Westside High School,1888,1
21,Titan Fever / Glenwood High School,1789,OnStage / John Hersey High School,1644,3
22,Choraliers / Fairfield Senior High School,1788,Swingsations / Mt. Zion High School,1773,3
23,Swingsations / Mt. Zion High School,1773,Royalaires / Zionsville High School,1854,2
24,Silver Connection / Monona Grove High School,1763,Friend de Coup / Mitchell High School,1720,2
25,Central Sound / Lawrence Central High School,1759,Swingsations / Mt. Zion High School,1773,2
26,Great Expectations / Twinsburg High School,1756,First Edition / Findlay High School,1737,0
27,First Edition / Findlay High School,1737,Central Sound / Lawrence Central High School,1759,2
28,Innovation / Johnston High School,1735,RUSH / Ralston High School,1615,1
29,Power Company / Waconia High School,1724,Company of Singers / Totino-Grace High School,1791,1
30,Friend de Coup / Mitchell High School,1720,Jefferson Connection / Bloomington Jefferson High School,1626,2
31,In Sync / Burbank High School,1718,N/A,-1,0
32,New Dimensions / Clover Hill High School,1711,Great Expectations / Twinsburg High School,1756,2
33,The Network / Homewood High School,1704,Reveillon / Jackson Preparatory School,1644,3
34,Varsity Singers / Huntington North High School,1699,New Dimensions / Clover Hill High School,1711,0
35,Classic Connection / DeKalb High School,1694,Swingsations / Mt. Zion High School,1773,1
36,Counterpoints / North Central High School,1689,New Dimensions / Clover Hill High School,1711,0
37,Titanium / Papillion-La Vista South High School,1687,RUSH / Ralston High School,1615,2
38,Resonance / Lincoln Southwest High School,1687,Riverside Company / Hastings High School,1817,2
39,Powerhouse / John Burroughs High School,1684,N/A,-1,0
40,Keynotes / Olentangy High School,1679,Rhythm In Red / Cabell Midland High School,1654,1
41,Spotlight / Cosby High School,1671,Sound FX / Hanover High School,1605,2
42,Encores / Pike High School,1667,The Network / Homewood High School,1704,0
43,Sound FX / Los Alamitos High School,1659,N/A,-1,0
44,Rhythm In Red / Cabell Midland High School,1654,Red Hot / Hurricane High School,1629,2
45,Minstrels / Bishop Luers High School,1651,Classic Connection / DeKalb High School,1694,2
46,Company / South Jones Jr/Sr High School,1651,Reveillon / Jackson Preparatory School,1644,1
