rank,name,elo,bestWin,bestWinElo,GCs
1,Sound Check / Waubonsie Valley High School,2141,Power Company / Waconia High School,1999,4
2,Innovation / Johnston High School,2002,Millennium / Waukee High School,1931,5
3,Power Company / Waconia High School,1999,Hilltoppers / Onalaska High School,1826,5
4,Sound System / Center Grove High School,1993,F.C. Singers / Franklin Central High School,1852,4
5,Attaché / Clinton High School,1962,Elite Energy / Decatur Show Choir Complex,1698,2
6,Titan Fever / Glenwood High School,1943,Sound System / Center Grove High School,1993,4
7,Millennium / Waukee High School,1931,Spectrum / Ankeny Centennial High School,1890,2
8,Amazing Technicolor Show Choir / Westside High School,1925,West in the Groove / Millard West High School,1821,4
9,Spectrum / Ankeny Centennial High School,1890,Millennium / Waukee High School,1931,2
10,Royalaires / Zionsville High School,1889,By Request / Loveland High School,1806,2
11,Swingers Unlimited / Marysville High School,1884,Music in Motion / Solon High School,1852,4
12,The Ambassadors / Prairie High School,1871,Central Singers Inc. / Davenport Central High School,1725,3
13,Music in Motion / Solon High School,1852,Swingers Unlimited / Marysville High School,1884,2
14,F.C. Singers / Franklin Central High School,1852,Fantasy / Shepherd Hill Regional High School,1723,1
15,Riverside Company / Hastings High School,1850,Blackout / Elkhorn South High School,1841,4
16,The Classics / Wheaton Warrenville South High School,1850,Power Company / Waconia High School,1999,2
17,Great Expectations / Twinsburg High School,1849,By Request / Loveland High School,1806,4
18,Ambassadors / Carmel High School,1844,Titan Fever / Glenwood High School,1943,1
19,Blackout / Elkhorn South High School,1841,West in the Groove / Millard West High School,1821,3
20,Pointe Singers / Grosse Pointe South High School,1835,Music in Motion / Solon High School,1852,2
21,Panache / Oliver Ames High School,1834,Illusion / Shepherd Hill Regional High School,1623,1
22,Hilltoppers / Onalaska High School,1826,West in the Groove / Millard West High School,1821,4
23,West in the Groove / Millard West High School,1821,Excel / Elkhorn High School,1711,1
24,By Request / Loveland High School,1806,Choraliers / Fairfield Senior High School,1716,3
25,Purple Harmony / Keokuk High School,1794,InMotion / Mt. Pleasant Community High School,1587,5
26,Choralation / Valley High School,1789,Studio / Urbandale High School,1690,1
27,Expressions / Buffalo Grove High School,1788,Riverside Company / Hastings High School,1850,1
28,Entourage / Naperville North High School,1778,Ambassadors / Carmel High School,1844,0
29,Evolution / American Leadership Academy,1776,Trojanaires / Jenks High School,1598,1
30,First Edition / Findlay High School,1774,Show Cards / Colerain High School,1684,3
31,Executive Suite / Sioux Falls Roosevelt High School,1771,Company of Singers / Totino-Grace High School,1695,2
32,Happiness Inc. / Cedar Rapids Kennedy High School,1765,The Ambassadors / Prairie High School,1871,3
33,The Network / Homewood High School,1759,Center Stage / Oak Grove High School,1676,1
34,Friend de Coup / Mitchell High School,1747,Great Expectations / Twinsburg High School,1849,2
35,Powerhouse / John Burroughs High School,1741,Fantasy / Shepherd Hill Regional High School,1723,1
