rank,name,elo,bestWin,bestWinElo,GCs
1,10th Street Edition / Linn-Mar High School,2083,Titan Fever / Glenwood High School,2058,4
2,Titan Fever / Glenwood High School,2058,Vocalmotive / Bemidji High School,1967,4
3,Studio / Urbandale High School,2041,Millennium / Waukee High School,1858,4
4,Innovation / Johnston High School,2032,Millennium / Waukee High School,1858,4
5,Sound FX / Los Alamitos High School,2017,F.C. Singers / Franklin Central High School,1849,1
6,Counterpoints / North Central High School,1997,The Network / Homewood High School,1861,2
7,West in the Groove / Millard West High School,1989,Millennium / Waukee High School,1858,4
8,Attaché / Clinton High School,1970,Reveillon / Jackson Preparatory School,1692,2
9,Vocalmotive / Bemidji High School,1967,Innovation / Johnston High School,2032,3
10,By Request / Loveland High School,1929,Flight / Wheaton North High School,1864,4
11,Royalaires / Zionsville High School,1925,Ambassadors / Carmel High School,1833,3
12,Company of Singers / Totino-Grace High School,1867,Tiger Rhythm / Broken Arrow High School,1759,3
13,Flight / Wheaton North High School,1864,Tiger Rhythm / Broken Arrow High School,1759,1
14,The Network / Homewood High School,1861,First Edition / Findlay High School,1784,4
15,Millennium / Waukee High School,1858,Spectrum / Ankeny Centennial High School,1779,0
16,F.C. Singers / Franklin Central High School,1849,Counterpoints / North Central High School,1997,5
17,Choraliers / Fairfield Senior High School,1847,The Network / Homewood High School,1861,3
18,Red Hot / Hurricane High School,1842,Spotlight / Cosby High School,1819,6
19,Soundsations / Petal High School,1837,Brio / Brandon High School,1689,3
20,Titanium / Papillion-La Vista South High School,1833,Express / Troy Buchanan High School,1745,2
21,Ambassadors / Carmel High School,1833,Swingers Unlimited / Marysville High School,1805,1
22,Sound System / Center Grove High School,1827,F.C. Singers / Franklin Central High School,1849,2
23,Music in Motion / Solon High School,1824,Swingers Unlimited / Marysville High School,1805,2
24,Spotlight / Cosby High School,1819,New Dimensions / Clover Hill High School,1710,2
25,Choralation / Valley High School,1811,Central Singers Inc. / Davenport Central High School,1728,2
26,Swingers Unlimited / Marysville High School,1805,Music in Motion / Solon High School,1824,2
27,RAMification / Southeast Polk High School,1805,InMotion / Mt. Pleasant Community High School,1611,1
28,Sound Express / Platte County High School,1800,Music Makers / Harrisonville High School,1608,2
29,Friend de Coup / Mitchell High School,1787,West in the Groove / Millard West High School,1989,2
30,First Edition / Findlay High School,1784,By Request / Loveland High School,1929,4
31,Spectrum / Ankeny Centennial High School,1779,Millennium / Waukee High School,1858,0
32,Powerhouse / John Burroughs High School,1778,F.C. Singers / Franklin Central High School,1849,0
33,NHS Singers / Noblesville High School,1777,Entourage / Naperville North High School,1775,2
34,Entourage / Naperville North High School,1775,Sound Check / Waubonsie Valley High School,1695,0
35,Pointe Singers / Grosse Pointe South High School,1769,Friends / Beavercreek High School,1620,1
36,Tiger Rhythm / Broken Arrow High School,1759,West in the Groove / Millard West High School,1989,1
37,Xhilaration / Xavier High School,1756,Central Singers Inc. / Davenport Central High School,1728,2
38,Soundsations / Texas City High School,1753,Tribe! / Keller High School,1566,1
39,Express / Troy Buchanan High School,1745,Red Hot / Hurricane High School,1842,2
40,In Sync / Burbank High School,1744,N/A,-1,0
41,Power Company / Waconia High School,1739,Company of Singers / Totino-Grace High School,1867,2
42,Elite Energy / Decatur Show Choir Complex,1734,Swingsations / Mt. Zion High School,1697,2
43,Executive Suite / Sioux Falls Roosevelt High School,1729,Titanium / Papillion-La Vista South High School,1833,3
44,Central Singers Inc. / Davenport Central High School,1728,Classic Connection / Sioux Falls Washington High School,1647,1
45,Soundwave / Carthage Senior High School,1727,Hillside Singers / Pleasant Hill High School,1506,3
46,Rhythm Masters / Whiteland Community High School,1723,Counterpoints / North Central High School,1997,1
47,Class Royale / Homestead High School,1722,Sandpipers / Chesterton High School,1719,3
48,Soundsational Singers / Nevada High School,1720,Soundwave / Carthage Senior High School,1727,3
