rank,name,elo,bestWin,bestWinElo,GCs
1,Visual Adrenaline / Ankeny High School,1900,Studio / Urbandale High School,1883,4
2,Studio / Urbandale High School,1883,Xhilaration / Xavier High School,1721,4
3,Singers / Sullivan High School,1879,Sound System / Center Grove High School,1787,5
4,Red Hot / Hurricane High School,1811,Good Times / Martinsburg High School,1760,1
5,Swingers Unlimited / Marysville High School,1808,Red Hot / Hurricane High School,1811,4
6,Powerhouse / John Burroughs High School,1807,Attaché / Clinton High School,1793,1
7,Attaché / Clinton High School,1793,Counterpoints / North Central High School,1715,2
8,Sound System / Center Grove High School,1787,Park Singers / Spain Park High School,1635,2
9,First Edition / Findlay High School,1782,Red Hot / Hurricane High School,1811,2
10,F.C. Singers / Franklin Central High School,1771,Sound System / Center Grove High School,1787,4
11,Grand Central Station / La Crosse Central High School,1764,Old Abe Show Choir / Memorial High School,1733,3
12,Good Times / Martinsburg High School,1760,Sound FX / Hanover High School,1661,1
13,Friend de Coup / Mitchell High School,1754,Xhilaration / Xavier High School,1721,3
14,Choraliers / Fairfield Senior High School,1749,Swingsations / Mt. Zion High School,1693,3
15,Sing.Chronicity / Winston Churchill High School,1744,Spotlight / Cosby High School,1578,0
16,Sandpipers / Chesterton High School,1737,Classic Connection / DeKalb High School,1613,2
17,10th Street Edition / Linn-Mar High School,1735,Grand Central Station / La Crosse Central High School,1764,1
18,Nova / Alan B. Shepard High School,1734,Express / Dwight D. Eisenhower High School,1554,1
19,Old Abe Show Choir / Memorial High School,1733,Friend de Coup / Mitchell High School,1754,2
20,Xhilaration / Xavier High School,1721,Company of Singers / Totino-Grace High School,1640,1
21,Counterpoints / North Central High School,1715,Sound System / Center Grove High School,1787,2
22,Rhythm in Gold / Bloomington Kennedy High School,1712,Friend de Coup / Mitchell High School,1754,2
23,Happiness Inc. / Cedar Rapids Kennedy High School,1706,10th Street Edition / Linn-Mar High School,1735,1
24,The Headliners / Sioux City East High School,1706,Dimensions / Dowling Catholic High School,1594,2
25,The Classics / Wheaton Warrenville South High School,1702,Singers / Sullivan High School,1879,2
