rank,name,elo,bestWin,bestWinElo,GCs
1,Sound Check / Waubonsie Valley High School,2092,F.C. Singers / Franklin Central High School,1937,4
2,Attaché / Clinton High School,2045,The Network / Homewood High School,1804,3
3,In Sync / Burbank High School,2027,Titan Fever / Glenwood High School,1961,1
4,Spectrum / Ankeny Centennial High School,2022,Innovation / Johnston High School,1968,3
5,Riverside Company / Hastings High School,1969,Grand Central Station / La Crosse Central High School,1837,4
6,Innovation / Johnston High School,1968,Riverside Company / Hastings High School,1969,4
7,Titan Fever / Glenwood High School,1961,By Request / Loveland High School,1815,6
8,Sound System / Center Grove High School,1956,Titan Fever / Glenwood High School,1961,4
9,F.C. Singers / Franklin Central High School,1937,Sound Check / Waubonsie Valley High School,2092,3
10,Choraliers / Fairfield Senior High School,1923,Music in Motion / Solon High School,1863,4
11,Swingers Unlimited / Marysville High School,1907,Amazing Technicolor Show Choir / Westside High School,1884,4
12,Red Hot / Hurricane High School,1906,By Request / Loveland High School,1815,6
13,Ambassadors / Carmel High School,1897,Music in Motion / Solon High School,1863,1
14,Millennium / Waukee High School,1894,Hilltoppers / Onalaska High School,1811,2
15,Amazing Technicolor Show Choir / Westside High School,1884,Grand Central Station / La Crosse Central High School,1837,5
16,Music in Motion / Solon High School,1863,Flight / Wheaton North High School,1788,2
17,Royalaires / Zionsville High School,1843,By Request / Loveland High School,1815,1
18,Grand Central Station / La Crosse Central High School,1837,Silver Connection / Monona Grove High School,1648,3
19,Studio / Urbandale High School,1837,Millennium / Waukee High School,1894,1
20,Bridge Street Singers / St. Francis High School,1815,Grand Central Station / La Crosse Central High School,1837,2
21,By Request / Loveland High School,1815,Choraliers / Fairfield Senior High School,1923,4
22,Hilltoppers / Onalaska High School,1811,The Ambassadors / Prairie High School,1757,4
23,Company of Singers / Totino-Grace High School,1810,Infinity / Millard North High School,1776,1
24,Elite Energy / Decatur Show Choir Complex,1808,Swingsations / Mt. Zion High School,1762,2
25,The Network / Homewood High School,1804,Imagination / West Jones High School,1707,4
26,New Dimensions / Clover Hill High School,1804,Pointe Singers / Grosse Pointe South High School,1706,2
27,The Headliners / Sioux City East High School,1803,West in the Groove / Millard West High School,1798,3
28,West in the Groove / Millard West High School,1798,Riverside Company / Hastings High School,1969,2
29,Friend de Coup / Mitchell High School,1793,Millennium / Waukee High School,1894,1
30,Express / Troy Buchanan High School,1792,Elite Energy / Decatur Show Choir Complex,1808,3
31,Flight / Wheaton North High School,1788,Company of Singers / Totino-Grace High School,1810,2
32,10th Street Edition / Linn-Mar High School,1784,Free Spirit / Papillion-La Vista High School,1743,2
33,Entourage / Naperville North High School,1784,Spotlighters / Craig High School,1701,2
34,Powerhouse / John Burroughs High School,1783,Knight Scene / Thomas Dale High School,1564,1
35,Infinity / Millard North High School,1776,Executive Suite / Sioux Falls Roosevelt High School,1716,2
36,Sound FX / Los Alamitos High School,1771,N/A,-1,0
37,Sound FX / Hanover High School,1769,Knight Scene / Thomas Dale High School,1564,3
38,Tiger Rhythm / Broken Arrow High School,1768,Friend de Coup / Mitchell High School,1793,0
39,Spotlight Singers & Company / Brownsburg High School,1764,Fusion / Fairfield Jr/Sr High School,1605,2
40,Swingsations / Mt. Zion High School,1762,First Edition / Findlay High School,1705,0
41,Soundsations / Petal High School,1760,Encore / Jackson Academy,1646,2
42,The Ambassadors / Prairie High School,1757,Bridge Street Singers / St. Francis High School,1815,1
43,Free Spirit / Papillion-La Vista High School,1743,Tiger Rhythm / Broken Arrow High School,1768,1
44,Hillside Singers / Pleasant Hill High School,1729,Gold / Norris High School,1657,3
45,Executive Suite / Sioux Falls Roosevelt High School,1716,Friend de Coup / Mitchell High School,1793,1
46,Splash / Etobicoke School of the Arts,1715,Fantasy / Shepherd Hill Regional High School,1655,0
47,Vocal Intensity / Robert C. Byrd High School,1714,St. C Singers / St. Clairsville High School,1540,1
48,Imagination / West Jones High School,1707,Encore / Jackson Academy,1646,2
49,Pointe Singers / Grosse Pointe South High School,1706,Minstrel Magic / Carroll High School,1638,1
50,Ultimate Image / Grand Island Senior High School,1706,Free Spirit / Papillion-La Vista High School,1743,1
51,First Edition / Findlay High School,1705,Great Expectations / Twinsburg High School,1700,2
52,InMotion / Mt. Pleasant Community High School,1703,Purple Harmony / Keokuk High School,1694,2
53,Spotlighters / Craig High School,1701,Bridge Street Singers / St. Francis High School,1815,2
54,Great Expectations / Twinsburg High School,1700,Sandpipers / Chesterton High School,1681,1
55,Rhythm in Gold / Bloomington Kennedy High School,1697,Hilltoppers / Onalaska High School,1811,2
56,Purple Harmony / Keokuk High School,1694,InMotion / Mt. Pleasant Community High School,1703,2
57,Counterpoints / North Central High School,1690,Choraliers / Fairfield Senior High School,1923,1
58,Sudden Impact / Ottumwa High School,1688,Sound Revolution / Norwalk High School,1557,2
59,Voices In Perfection / Capital High School,1687,Visions / Buckeye Valley High School,1415,1
60,Sandpipers / Chesterton High School,1681,Magic / Manteno High School,1554,1
61,Expressions / Buffalo Grove High School,1678,Entourage / Naperville North High School,1784,0
62,Royal Pride / Norfolk Senior High School,1677,Jefferson Edition / Council Bluffs Jefferson High School,1653,1
63,The Classics / Wheaton Warrenville South High School,1677,Elite Energy / Decatur Show Choir Complex,1808,0
64,Revolution / Gretna High School,1677,Shockwave / Elkhorn South High School,1570,1
65,Classic Connection / Sioux Falls Washington High School,1665,Hillside Singers / Pleasant Hill High School,1729,1
66,Power Company / Waconia High School,1664,Company of Singers / Totino-Grace High School,1810,2
67,Central Singers Inc. / Davenport Central High School,1660,Xhilaration / Xavier High School,1658,0
68,Xhilaration / Xavier High School,1658,Central Singers Inc. / Davenport Central High School,1660,2
