rank,name,elo,bestWin,bestWinElo,GCs
1,Innovation / Johnston High School,2120,Friend de Coup / Mitchell High School,1899,4
2,10th Street Edition / Linn-Mar High School,2099,The Network / Homewood High School,1915,5
3,Ambassadors / Carmel High School,2064,Sound System / Center Grove High School,1953,5
4,Attaché / Clinton High School,1981,Brio / Brandon High School,1927,3
5,Studio / Urbandale High School,1979,Choralation / Valley High School,1853,3
6,Sound System / Center Grove High School,1953,Brio / Brandon High School,1927,2
7,Brio / Brandon High School,1927,Amazing Technicolor Show Choir / Westside High School,1926,4
8,Amazing Technicolor Show Choir / Westside High School,1926,Friend de Coup / Mitchell High School,1899,4
9,The Network / Homewood High School,1915,First Edition / Findlay High School,1914,4
10,First Edition / Findlay High School,1914,Riverside Company / Hastings High School,1851,4
11,Eos / Waukee Northwest High School,1909,Studio / Urbandale High School,1979,2
12,Friend de Coup / Mitchell High School,1899,Amazing Technicolor Show Choir / Westside High School,1926,3
13,Sound FX / Los Alamitos High School,1896,Swingers Unlimited / Marysville High School,1819,1
14,Tiger Rhythm / Broken Arrow High School,1883,Choraleers / Neosho High School,1808,3
15,Royalaires / Zionsville High School,1882,Soundsations / Petal High School,1782,2
16,F.C. Singers / Franklin Central High School,1869,Sound System / Center Grove High School,1953,2
17,Revolution / Gretna High School,1860,West in the Groove / Millard West High School,1855,2
18,West in the Groove / Millard West High School,1855,Titanium / Papillion-La Vista South High School,1808,3
19,Choralation / Valley High School,1853,Visual Adrenaline / Ankeny High School,1849,1
20,Riverside Company / Hastings High School,1851,Company of Singers / Totino-Grace High School,1678,3
21,Visual Adrenaline / Ankeny High School,1849,Central Singers Inc. / Davenport Central High School,1844,2
22,Flight / Wheaton North High School,1846,Express / Troy Buchanan High School,1754,2
23,Central Singers Inc. / Davenport Central High School,1844,Jam Session / De Pere High School,1690,2
24,Rhythm In Gold / Bloomington Kennedy High School,1842,Power Company / Waconia High School,1760,3
25,Sandpipers / Chesterton High School,1841,Power Company / Waconia High School,1760,3
26,Legacy / Ross High School,1840,Swingers Unlimited / Marysville High School,1819,4
27,Free Spirit / Papillion-La Vista High School,1821,Resonance / Lincoln Southwest High School,1802,2
28,Swingers Unlimited / Marysville High School,1819,Red Hot / Hurricane High School,1786,2
29,Choraleers / Neosho High School,1808,Hillside Singers / Pleasant Hill High School,1606,3
30,Titanium / Papillion-La Vista South High School,1808,Amazing Technicolor Show Choir / Westside High School,1926,2
31,Resonance / Lincoln Southwest High School,1802,Revolution / Gretna High School,1860,1
32,Red Hot / Hurricane High School,1786,Legacy / Ross High School,1840,4
33,Soundsations / Petal High School,1782,Singers / Oak Mountain High School,1674,3
34,Express / Lincoln East High School,1767,Free Spirit / Papillion-La Vista High School,1821,2
35,RAMification / Southeast Polk High School,1764,Central Singers Inc. / Davenport Central High School,1844,2
36,Millennium / Waukee High School,1762,Corporation / Lewis Central High School,1762,1
37,Corporation / Lewis Central High School,1762,Hillside Singers / Pleasant Hill High School,1606,3
38,Power Company / Waconia High School,1760,Riverside Company / Hastings High School,1851,2
39,Royal Rhapsody / Roncalli High School,1754,Belles et Beaux / Plainfield High School,1670,2
40,Express / Troy Buchanan High School,1754,The Classics / Wheaton Warrenville South High School,1744,2
41,Choraliers / Fairfield Senior High School,1749,Minstrel Magic / Carroll High School,1744,1
42,Classic Illumination / Franklin Middle School,1748,Double Time / Excelsior Middle School,1577,1
43,Minstrel Magic / Carroll High School,1744,VIBE / Daniel Hand High School,1664,3
44,The Classics / Wheaton Warrenville South High School,1744,Flight / Wheaton North High School,1846,2
45,Swingsations / Mt. Zion High School,1743,Express / Troy Buchanan High School,1754,2
46,Powerhouse / John Burroughs High School,1743,VIBE / Daniel Hand High School,1664,1
47,The Company / Piqua High School,1741,Legacy / Ross High School,1840,3
48,Eagle Express / Aberdeen Central High School,1733,Express / Lincoln East High School,1767,2
