rank,name,elo,bestWin,bestWinElo,GCs
1,Company of Singers / Totino-Grace High School,2072,Friend de Coup / Mitchell High School,1945,5
2,Sound Check / Waubonsie Valley High School,1999,The Classics / Wheaton Warrenville South High School,1951,4
3,The Classics / Wheaton Warrenville South High School,1951,Swingsations / Mt. Zion High School,1827,3
4,Friend de Coup / Mitchell High School,1945,Sound System / Center Grove High School,1827,4
5,Attaché / Clinton High School,1933,Sound System / Center Grove High School,1827,3
6,West Side Delegation / Cedar Rapids Jefferson High School,1878,Millennium / Waukee High School,1849,4
7,Ambassadors / Carmel High School,1857,Swingsations / Mt. Zion High School,1827,1
8,Millennium / Waukee High School,1849,Friend de Coup / Mitchell High School,1945,2
9,The Company / Piqua High School,1841,First Edition / Findlay High School,1692,4
10,Sound System / Center Grove High School,1827,Ambassadors / Carmel High School,1857,4
11,Swingsations / Mt. Zion High School,1827,Encores / Enterprise High School,1665,2
12,First Edition / Lafayette Jefferson High School,1827,Amazing Technicolor Show Choir / Westside High School,1763,1
13,Expressions / Buffalo Grove High School,1824,The Classics / Wheaton Warrenville South High School,1951,1
14,Show Cards / Colerain High School,1819,Great Expectations / Twinsburg High School,1770,4
15,Vocalmotive / Bemidji High School,1814,Riverside Company / Hastings High School,1728,2
16,F.C. Singers / Franklin Central High School,1808,Show Cards / Colerain High School,1819,3
17,Xhilaration / Xavier High School,1805,The Headliners / Sioux City East High School,1706,4
18,Great Expectations / Twinsburg High School,1770,Minstrel Magic / Carroll High School,1674,1
19,Amazing Technicolor Show Choir / Westside High School,1763,Swingsations / Mt. Zion High School,1827,2
20,Grand Central Station / La Crosse Central High School,1757,The Headliners / Sioux City East High School,1706,2
21,Momentum / Cedar Rapids Washington High School,1756,Xhilaration / Xavier High School,1805,2
22,Eclipse / Regis Middle School,1750,Classic Edition / McKinley Middle School,1570,1
23,Rhythm In Red / Cabell Midland High School,1747,Good Times / Martinsburg High School,1618,3
24,CenterStage! / Albertville High School,1737,Wave Connection / Tupelo High School,1627,2
25,In Sync / Burbank High School,1729,Choraliers / Fairfield Senior High School,1699,0
26,Riverside Company / Hastings High School,1728,Swingsations / Mt. Zion High School,1827,3
27,Counterpoints / North Central High School,1718,First Edition / Lafayette Jefferson High School,1827,0
28,Capital Swing / Manchester High School,1708,Spotlight / Cosby High School,1639,2
29,Powerhouse / John Burroughs High School,1708,Sound System / Center Grove High School,1827,0
30,The Headliners / Sioux City East High School,1706,14 Karat Gold / Grand Island Northwest High School,1670,2
31,Choraliers / Fairfield Senior High School,1699,Sound System / Center Grove High School,1827,2
32,Jefferson Connection / Bloomington Jefferson High School,1694,Choralation / Milton High School,1608,2
33,Ovations / Opelika High School,1694,Minstrels / Bishop Luers High School,1676,1
34,First Edition / Findlay High School,1692,Show Cards / Colerain High School,1819,2
35,Spotlighters / Craig High School,1689,Cardinal Singers / Mayville High School,1507,3
36,Studio / Urbandale High School,1689,Vocalmotive / Bemidji High School,1814,1
37,Hillside Singers / Pleasant Hill High School,1686,City Lights / Rock Bridge High School,1635,2
38,Showstoppers / Winston Churchill High School,1685,Spotlight / Cosby High School,1639,0
39,Central Sound / Lawrence Central High School,1684,Riverside Company / Hastings High School,1728,1
40,Sound FX / Los Alamitos High School,1679,In Sync / Burbank High School,1729,2
41,Minstrels / Bishop Luers High School,1676,Show Cards / Colerain High School,1819,3
42,Evolution / American Leadership Academy,1675,Main Street / La Cueva High School,1511,1
43,Minstrel Magic / Carroll High School,1674,First Edition / Lafayette Jefferson High School,1827,1
44,Music in Motion / Solon High School,1673,Great Expectations / Twinsburg High School,1770,1
45,14 Karat Gold / Grand Island Northwest High School,1670,Good Time Company / Iowa City West High School,1649,0
46,Varsity Singers / Huntington North High School,1669,First Edition / Lafayette Jefferson High School,1827,2
47,Encores / Enterprise High School,1665,CenterStage! / Albertville High School,1737,1
48,Sound Vibrations / Hart High School,1657,Capital Swing / Manchester High School,1708,1
49,Royalaires / Zionsville High School,1649,Amazing Technicolor Show Choir / Westside High School,1763,0
50,Good Time Company / Iowa City West High School,1649,The Headliners / Sioux City East High School,1706,0
51,Innovation / Johnston High School,1648,Jefferson Connection / Bloomington Jefferson High School,1694,1
52,Visual Adrenaline / Ankeny High School,1644,Innovation / Johnston High School,1648,0
53,Classic Connection / DeKalb High School,1642,Sound System / Center Grove High School,1827,2
54,New Dimensions / Clover Hill High School,1642,CenterStage! / Albertville High School,1737,2
55,Happiness Inc. / Cedar Rapids Kennedy High School,1642,Vocalmotive / Bemidji High School,1814,1
56,Spotlight / Cosby High School,1639,Good Times / Martinsburg High School,1618,1
57,City Lights / Rock Bridge High School,1635,Titanium / Papillion-La Vista South High School,1589,1
58,Elite Energy / Eisenhower High School,1635,Minstrels / Bishop Luers High School,1676,1
59,AcaPella / Pella High School,1634,Sound Revolution / Norwalk High School,1556,2
60,West Connection / Bellevue West High School,1633,Countesses & Noblemen / Lincoln Southeast High School,1453,1
61,Central Singers Inc. / Davenport Central High School,1630,West Side Delegation / Cedar Rapids Jefferson High School,1878,1
62,Encores / Pike High School,1629,Minstrels / Bishop Luers High School,1676,1
63,Wave Connection / Tupelo High School,1627,Company / South Jones Jr/Sr High School,1576,0
64,Spotlight Singers & Company / Brownsburg High School,1624,Belles et Beaux / Plainfield High School,1529,0
65,Dimensions / Dowling Catholic High School,1624,Ovation! / O'Gorman High School,1493,1
66,Premiers / Ben Davis High School,1621,First Edition / Lafayette Jefferson High School,1827,1
67,Show Choir / Ellsworth High School,1620,Show Choir / Nokomis Regional Middle/High School,1526,1
68,Panache / Oliver Ames High School,1619,N/A,-1,0
69,Good Times / Martinsburg High School,1618,Red Hot / Hurricane High School,1482,0
70,Celebration Co. / Benton Community High School,1617,The Ambassadors / Prairie High School,1522,1
71,River City Rhythm / Muscatine High School,1616,AcaPella / Pella High School,1634,1
72,Reveillon / Jackson Preparatory School,1613,Legacy / Sumrall High School,1493,1
73,Visual Volume / Poca High School,1611,Good Times / Martinsburg High School,1618,1
74,Great Expectations / O'Fallon Township High School,1610,Jefferson Connection / Bloomington Jefferson High School,1694,1
75,Highland Singers / Highland High School,1609,Classic Connection / DeKalb High School,1642,2
76,Magic / Manteno High School,1609,Cavaliers / Crete-Monee High School,1543,1
77,Swingers Unlimited / Marysville High School,1608,Great Expectations / Twinsburg High School,1770,1
78,Sound Express / Carlsbad High School,1608,N/A,-1,0
79,Choralation / Milton High School,1608,Grand Central Station / La Crosse Central High School,1757,1
80,Masquerade / Brea Olinda High School,1607,N/A,-1,0
81,West High Story / Waterloo West High School,1602,Explosion! / Omaha North High School,1516,1
82,Power Company / Waconia High School,1601,Momentum / Cedar Rapids Washington High School,1756,0
83,Express / Troy Buchanan High School,1600,City Lights / Rock Bridge High School,1635,1
84,Ultimate Image / Grand Island Senior High School,1598,Ovation! / O'Gorman High School,1493,1
85,Trojanaires / Jenks High School,1597,Swingers Unlimited / Marysville High School,1608,1
86,Lights / Mundelein High School,1594,Great Expectations / O'Fallon Township High School,1610,0
87,Voices In Perfection / Capital High School,1590,New Dimensions / Clover Hill High School,1642,1
88,Titanium / Papillion-La Vista South High School,1589,Corporation / Lewis Central High School,1524,0
89,Company / South Jones Jr/Sr High School,1576,Ovations / Opelika High School,1694,2
90,Sound Sensation / DeKalb High School,1573,Titan Fever / Glenwood High School,1473,0
91,Knight Stars / Norwell High School,1573,Knight Moves / Norwell High School,1496,0
92,Classic Edition / McKinley Middle School,1570,Classic Innovation / Harding Middle School,1510,0
93,Harmonia Mundi / Bishop Heelan Catholic School,1566,AcaPella / Pella High School,1634,1
94,Sound / Mundelein High School,1565,Spotlighters / Craig High School,1689,1
95,Rebelaires / Westwood Jr/Sr High School,1565,Crimson And Black / LeMars Community High School,1520,1
96,The Network / Homewood High School,1564,Company / South Jones Jr/Sr High School,1576,0
97,10th Street Edition / Linn-Mar High School,1556,Happiness Inc. / Cedar Rapids Kennedy High School,1642,0
98,Sound Revolution / Norwalk High School,1556,Light Inc. / Des Moines Christian School,1419,0
99,Chanteurs / Arcadia High School,1556,N/A,-1,0
100,Highleit / DeKalb School of the Arts,1548,Visual Volume / Poca High School,1611,0
101,Girls in Heels / Waubonsie Valley High School,1544,Singers / Sullivan High School,1413,0
102,Cavaliers / Crete-Monee High School,1543,Noteables / Pekin Community High School,1499,0
103,Step on Stage / Horizon High School,1533,N/A,-1,0
104,Protégé / Cedar Rapids Kennedy High School,1533,Northside Establishment / Davenport North High School,1516,0
105,Belles et Beaux / Plainfield High School,1529,Knight Moves / Norwell High School,1496,0
106,Show Choir / Nokomis Regional Middle/High School,1526,Voices Unlimited / Hampden Academy,1475,0
107,Rhythm in Gold / Bloomington Kennedy High School,1526,Hilltoppers / Onalaska High School,1503,0
108,Corporation / Lewis Central High School,1524,Ultimate Image / Grand Island Senior High School,1598,0
109,The Ambassadors / Prairie High School,1522,Jefferson Connection / Bloomington Jefferson High School,1694,0
110,West in the Groove / Millard West High School,1521,Titanium / Papillion-La Vista South High School,1589,0
111,Crimson And Black / LeMars Community High School,1520,Satisfaction / Sioux Center High School,1469,0
112,Pizzazz / Parkway Central High School,1518,Explosion! / Omaha North High School,1516,0
113,Friends / Beavercreek High School,1517,Visual Volume / Poca High School,1611,0
114,Northside Establishment / Davenport North High School,1516,River City Rhythm / Muscatine High School,1616,1
115,Explosion! / Omaha North High School,1516,RAMification / Southeast Polk High School,1458,0
116,Marquis / Diamond Bar High School,1515,N/A,-1,0
117,Main Street / La Cueva High School,1511,Gold Rush / Eldorado High School,1469,0
118,Aztec Singers / Mark Keppel High School,1511,N/A,-1,0
119,The Music Machine / Bonita Vista High School,1510,N/A,-1,0
120,Classic Innovation / Harding Middle School,1510,FLaPCo / Franklin Middle School,1390,0
121,Free Spirit / Papillion-La Vista High School,1508,Ultimate Image / Grand Island Senior High School,1598,0
122,Forte / Palatine High School,1508,Delegation / Danville High School,1484,0
123,Soundsations / Petal High School,1507,The Network / Homewood High School,1564,0
124,RUSH / Ralston High School,1507,Ultimate Image / Grand Island Senior High School,1598,0
125,Cardinal Singers / Mayville High School,1507,Grand Central Station / La Crosse Central High School,1757,1
126,Mixed Company / Prospect High School,1505,Forte / Palatine High School,1508,0
127,Royal Stewart Singers / Glendora High School,1504,N/A,-1,0
128,Hilltoppers / Onalaska High School,1503,Grand Central Station / La Crosse Central High School,1757,1
129,Vocal Point / Serrano High School,1502,N/A,-1,0
130,Applause / Appling County High School,1500,N/A,-1,0
131,Varsity Show Choir / Des Moines Roosevelt High School,1500,Side One / Indianola High School,1409,0
132,InAChordDance / Appomattox Regional Governor's School,1499,N/A,-1,0
133,Noteables / Pekin Community High School,1499,Magic / Manteno High School,1609,0
134,Encore Entertainment Company / Medina High School,1498,Showcats / Nitro High School,1407,0
135,Knight Moves / Norwell High School,1496,Music Warehouse / Edgewood High School,1444,0
136,Varsity Singers / Auburn High School,1494,Company / South Jones Jr/Sr High School,1576,0
137,Legacy / Sumrall High School,1493,Premiere / Columbia Academy,1433,0
138,Ovation! / O'Gorman High School,1493,Classic Connection / Sioux Falls Washington High School,1475,0
139,Synergy / Johnston High School,1489,Varsity Show Choir / Des Moines Roosevelt High School,1500,0
140,Center Stage! / Oak Grove High School,1487,Gold Horizons / Northeast Jones Jr/Sr High School,1359,0
141,The Current / Waconia High School,1485,N/A,-1,0
142,Impulse / Wahlert Catholic High School,1484,Hilltoppers / Onalaska High School,1503,0
143,Delegation / Danville High School,1484,Great Expectations / O'Fallon Township High School,1610,0
144,The Class Act / Logan High School,1483,Forte / Palatine High School,1508,0
145,Opening Knight / South Dearborn High School,1482,N/A,-1,0
146,Red Hot / Hurricane High School,1482,Pure Elegance / Fairfield Senior High School,1465,0
147,Choralation / Valley High School,1481,Dimensions / Dowling Catholic High School,1624,0
148,Pure Crimson & Gold / Omaha Northwest High School,1478,N/A,-1,0
149,West Connection / Davenport West High School,1476,14 Karat Gold / Grand Island Northwest High School,1670,1
150,Satin 'n Lace / Rock Bridge High School,1476,Soundsational Singers / Nevada High School,1429,0
151,Voices Unlimited / Hampden Academy,1475,Show Choir / Waterville Senior High School,1379,0
152,Classic Connection / Sioux Falls Washington High School,1475,Ovation! / O'Gorman High School,1493,0
153,Second Edition / Council Bluffs Jefferson High School,1474,N/A,-1,0
154,Voices 'N Harmony / Lincoln Northeast High School,1474,N/A,-1,0
155,Titan Fever / Glenwood High School,1473,Magic / Manteno High School,1609,1
156,Impact / Pascagoula High School,1471,Reveillon / Jackson Preparatory School,1613,0
157,Sophisticated Ladies / Edgewood High School,1470,N/A,-1,0
158,Gold Rush / Eldorado High School,1469,Platinum / Canyon High School,1398,0
159,Satisfaction / Sioux Center High School,1469,Swingsations / Carroll High School,1347,0
160,Fantasy / Shepherd Hill Regional High School,1469,VIBE / Daniel Hand High School,1419,0
