rank,name,elo,bestWin,bestWinElo,GCs
1,Sound System / Center Grove High School,2026,Spotlight Singers & Company / Brownsburg High School,1744,3
2,14 Karat Gold / Grand Island Northwest High School,1883,Gold / Norris High School,1561,1
3,Swingers Unlimited / Marysville High School,1876,Legacy / Ross High School,1777,2
4,Studio / Urbandale High School,1876,Innovation / Johnston High School,1779,1
5,F.C. Singers / Franklin Central High School,1870,Express / Troy Buchanan High School,1753,5
6,Varsity Singers / Auburn High School,1830,The Network / Homewood High School,1707,1
7,First Edition / Findlay High School,1819,Express / Troy Buchanan High School,1753,0
8,Friend de Coup / Mitchell High School,1794,Eagle Express / Aberdeen Central High School,1790,3
9,Eagle Express / Aberdeen Central High School,1790,Swingsations / Mt. Zion High School,1759,3
10,Innovation / Johnston High School,1779,Sound Revolution / Norwalk High School,1530,1
11,Legacy / Ross High School,1777,First Edition / Findlay High School,1819,2
12,Swingsations / Mt. Zion High School,1759,Red Hot / Hurricane High School,1709,2
13,Express / Troy Buchanan High School,1753,First Edition / Findlay High School,1819,3
14,Spotlight Singers & Company / Brownsburg High School,1744,Accents / Avon High School,1675,0
15,Ambassadors / Carmel High School,1736,Rhythm Masters / Whiteland Community High School,1494,0
16,Red Hot / Hurricane High School,1709,General Admission / Winfield High School,1537,2
17,The Network / Homewood High School,1707,Visions / Grenada High School,1669,0
18,River City Revue / Hannibal High School,1705,The Ambassadors / Prairie High School,1538,1
19,Brio / Brandon High School,1703,Encores / Enterprise High School,1697,1
20,Encores / Enterprise High School,1697,The Network / Homewood High School,1707,2
21,Minstrel Magic / Carroll High School,1687,First Edition / Findlay High School,1819,2
22,Accents / Avon High School,1675,Class Royale / Homestead High School,1654,3
23,Visions / Grenada High School,1669,Express / Troy Buchanan High School,1753,1
24,Soundsations / Petal High School,1664,Brio / Brandon High School,1703,1
25,Top Twenty / Kenton High School,1661,Charisma / Lebanon High School,1590,1
26,Class Royale / Homestead High School,1654,Minstrel Magic / Carroll High School,1687,2
27,Singers / Oak Mountain High School,1634,8th Street Singing Company / Tift County High School,1457,1
28,Elite Energy / Decatur Show Choir Complex,1626,By Request / Loveland High School,1573,0
29,Electrum / Fishers High School,1611,Accents / Avon High School,1675,0
30,CenterStage! / Albertville High School,1606,Swingsations / Mt. Zion High School,1759,0
31,Platinum FX / Chaparral High School,1601,N/A,-1,0
32,OnStage / John Hersey High School,1601,N/A,-1,0
33,Marquis / Diamond Bar High School,1599,N/A,-1,0
34,Sound Express / Carlsbad High School,1599,N/A,-1,0
35,Sound Vibrations / Hart High School,1599,N/A,-1,0
36,Monarch Mirage / Mt. Eden High School,1599,N/A,-1,0
37,Powerhouse / John Burroughs High School,1597,N/A,-1,0
38,Executive Suite / Sioux Falls Roosevelt High School,1597,Eagle Express / Aberdeen Central High School,1790,0
39,Music Unlimited / Waltham High School,1597,Modulations / El Paso-Gridley High School,1439,0
40,Hillside Singers / Pleasant Hill High School,1596,Swingin' Saints / St. Thomas Aquinas High School,1369,1
41,Charisma / Lebanon High School,1590,Vintage / Neenah High School,1454,0
42,Xhilaration / Xavier High School,1583,N/A,-1,0
