rank,name,elo,bestWin,bestWinElo,GCs
1,Spectrum / Ankeny Centennial High School,2072,10th Street Edition / Linn-Mar High School,1924,4
2,Royalaires / Zionsville High School,2021,Choraliers / Fairfield Senior High School,1822,3
3,10th Street Edition / Linn-Mar High School,1924,Amazing Technicolor Show Choir / Westside High School,1879,2
4,Power Company / Waconia High School,1919,Hilltoppers / Onalaska High School,1896,3
5,Hilltoppers / Onalaska High School,1896,Power Company / Waconia High School,1919,6
6,Brio / Brandon High School,1890,Visions / Grenada High School,1665,3
7,Amazing Technicolor Show Choir / Westside High School,1879,Titanium / Papillion-La Vista South High School,1837,3
8,Encore Entertainment Company / Medina High School,1871,First Edition / Findlay High School,1802,3
9,Central Singers Inc. / Davenport Central High School,1862,River City Revue / Hannibal High School,1730,3
10,The Headliners / Sioux City East High School,1855,Infinity / Millard North High School,1748,3
11,Tiger Rhythm / Broken Arrow High School,1846,Infinity / Millard North High School,1748,2
12,Soundsations / Petal High School,1840,The Network / Homewood High School,1762,4
13,Titanium / Papillion-La Vista South High School,1837,West in the Groove / Millard West High School,1792,3
14,Choraliers / Fairfield Senior High School,1822,Swingers Unlimited / Marysville High School,1769,2
15,Attaché / Clinton High School,1809,Visions / Grenada High School,1665,2
16,First Edition / Findlay High School,1802,Encore Entertainment Company / Medina High School,1871,2
17,Visual Adrenaline / Ankeny High School,1802,Choralation / Valley High School,1740,1
18,Spotlight Singers & Company / Brownsburg High School,1802,F.C. Singers / Franklin Central High School,1758,1
19,Ambassadors / Carmel High School,1796,Choraliers / Fairfield Senior High School,1822,2
20,West in the Groove / Millard West High School,1792,Infinity / Millard North High School,1748,1
21,Vocalmotive / Bemidji High School,1792,The Headliners / Sioux City East High School,1855,3
22,VIBE / Daniel Hand High School,1786,Music Unlimited / Waltham High School,1546,2
23,Double Time / Excelsior Middle School,1776,Adrenaline / Taft Middle School,1571,1
24,Swingers Unlimited / Marysville High School,1769,Royalaires / Zionsville High School,2021,3
25,The Network / Homewood High School,1762,Singers / Oak Mountain High School,1697,2
26,Friend de Coup / Mitchell High School,1760,Infinity / Millard North High School,1748,2
27,F.C. Singers / Franklin Central High School,1758,Royalaires / Zionsville High School,2021,2
28,Tribe! / Keller High School,1758,Choraliers / Arlington High School,1690,1
29,Resonance / Lincoln Southwest High School,1755,Power Company / Waconia High School,1919,2
30,West Connection / Bellevue West High School,1750,Eagle Express / Aberdeen Central High School,1680,1
31,Infinity / Millard North High School,1748,Friend de Coup / Mitchell High School,1760,0
32,Friends / Beavercreek High School,1748,Encore Entertainment Company / Medina High School,1871,3
33,Hillside Singers / Pleasant Hill High School,1743,River City Revue / Hannibal High School,1730,4
34,Choralation / Valley High School,1740,Friend de Coup / Mitchell High School,1760,2
35,Innovation / Johnston High School,1735,Amazing Technicolor Show Choir / Westside High School,1879,0
36,Sound Revolution / Norwalk High School,1734,Sudden Impact / Ottumwa High School,1551,2
37,Riverside Company / Hastings High School,1732,Vocalmotive / Bemidji High School,1792,1
38,River City Revue / Hannibal High School,1730,InMotion / Mt. Pleasant Community High School,1603,1
39,Knight Sensations / Castle High School,1728,Counterpoints / North Central High School,1629,2
40,Excel / Elkhorn High School,1727,West in the Groove / Millard West High School,1792,2
41,Music in Motion / Solon High School,1727,First Edition / Findlay High School,1802,2
42,Sound System / Center Grove High School,1727,Choraliers / Fairfield Senior High School,1822,3
43,New Dimensions / Clover Hill High School,1723,Choraliers / Fairfield Senior High School,1822,3
44,Titan Fever / Glenwood High School,1723,Swingsations / Mt. Zion High School,1706,3
45,Millennium / Waukee High School,1719,Tiger Rhythm / Broken Arrow High School,1846,0
