rank,name,elo,bestWin,bestWinElo,GCs
1,Innovation / Johnston High School,2120,West in the Groove / Millard West High School,1964,3
2,10th Street Edition / Linn-Mar High School,2086,Ambassadors / Carmel High School,2003,4
3,Music in Motion / Solon High School,2030,Magic / Carroll High School,1879,4
4,Sound System / Center Grove High School,2021,Ambassadors / Carmel High School,2003,5
5,Ambassadors / Carmel High School,2003,Magic / Carroll High School,1879,3
6,Revolution / Gretna High School,1998,Amazing Technicolor Show Choir / Westside High School,1991,3
7,Amazing Technicolor Show Choir / Westside High School,1991,Friend de Coup / Mitchell High School,1918,4
8,West in the Groove / Millard West High School,1964,Revolution / Gretna High School,1998,4
9,Central Singers Inc. / Davenport Central High School,1960,Jam Session / De Pere High School,1668,4
10,Attaché / Clinton High School,1958,Visions / Grenada High School,1783,2
11,Tiger Rhythm / Broken Arrow High School,1927,Singers / Webb City High School,1783,4
12,Friend de Coup / Mitchell High School,1918,West in the Groove / Millard West High School,1964,2
13,Red Hot / Hurricane High School,1909,Spotlight / Cosby High School,1752,6
14,Equinox / Gretna East High School,1903,Riverside Company / Hastings High School,1744,3
15,Visual Adrenaline / Ankeny High School,1899,Spectrum / Ankeny Centennial High School,1839,3
16,Magic / Carroll High School,1879,Spectrum / Ankeny Centennial High School,1839,5
17,Accents / Avon High School,1876,Varsity Singers / Huntington North High School,1597,5
18,Swingers Unlimited / Marysville High School,1852,Choraliers / Fairfield Senior High School,1808,4
19,Choraleers / Neosho High School,1841,Singers / Webb City High School,1783,3
20,The Headliners / Sioux City East High School,1841,Resonance / Lincoln Southwest High School,1826,3
21,Spectrum / Ankeny Centennial High School,1839,Choralation / Valley High School,1816,2
22,The Network / Homewood High School,1839,Singers / Oak Mountain High School,1830,3
23,Millennium / Waukee High School,1839,West in the Groove / Millard West High School,1964,1
24,Singers / Oak Mountain High School,1830,The Classics / Wheaton Warrenville South High School,1802,2
25,Resonance / Lincoln Southwest High School,1826,Revolution / Gretna High School,1998,3
26,FC Singers / Franklin Central High School,1826,Royalaires / Zionsville High School,1782,2
27,Harmonia Mundi / Bishop Heelan Catholic School,1819,The Headliners / Sioux City East High School,1841,3
28,Flight / Wheaton North High School,1819,Northside Establishment / Davenport North High School,1766,3
29,Choralation / Valley High School,1816,Studio / Urbandale High School,1801,2
30,Choraliers / Fairfield Senior High School,1808,Red Hot / Hurricane High School,1909,3
31,The Classics / Wheaton Warrenville South High School,1802,Spotlight Singers & Company / Brownsburg High School,1701,2
32,Studio / Urbandale High School,1801,Equinox / Gretna East High School,1903,1
33,Hilltoppers / Onalaska High School,1799,Rhythm In Gold / Bloomington Kennedy High School,1680,5
34,Visions / Grenada High School,1783,The Classics / Wheaton Warrenville South High School,1802,3
35,Singers / Webb City High School,1783,Chamber Singers / Blue Valley High School,1646,4
36,Royalaires / Zionsville High School,1782,Swingers Unlimited / Marysville High School,1852,0
37,Harmony in Motion / Douglas S. Freeman High School,1767,Knight Scene / Thomas Dale High School,1547,1
38,Northside Establishment / Davenport North High School,1766,Riverside Company / Hastings High School,1744,2
39,First Edition / Lafayette Jefferson High School,1761,Magic / Carroll High School,1879,3
40,Electrum / Fishers High School,1760,Counterpoints / North Central High School,1736,1
41,Sound FX / Los Alamitos High School,1759,Royalaires / Zionsville High School,1782,0
42,Spotlight / Cosby High School,1752,Capital Swing / Manchester High School,1615,3
43,Riverside Company / Hastings High School,1744,The Classics / Wheaton Warrenville South High School,1802,2
44,Counterpoints / North Central High School,1736,Premiers / Ben Davis High School,1620,1
45,Varsity Chorale / Euclid High School,1731,Good Times / Martinsburg High School,1682,3
46,adrENaline / Elkhorn North High School,1729,Power Company / Waconia High School,1632,2
47,Powerhouse / John Burroughs High School,1726,N/A,-1,0
48,Happiness Inc. / Cedar Rapids Kennedy High School,1726,Light Inc. / Des Moines Christian School,1679,2
49,Double Time / Excelsior Middle School,1724,Classic Edition / McKinley Middle School,1594,1
50,Vista Ridge Rhythm / Vista Ridge High School,1723,Sidney State of Mind / Sidney High School,1593,1
51,Eos / Waukee Northwest High School,1723,Innovation / Johnston High School,2120,1
52,Music Unlimited / Waltham High School,1720,VIBE / Daniel Hand High School,1680,3
53,Blue Lights / Keller High School,1714,The Bell System / L.D. Bell High School,1615,1
54,The Company / Piqua High School,1713,First Edition / Findlay High School,1545,2
55,Spectrum / Pius X High School,1710,Blue Lights / Keller High School,1714,1
56,Titanium / Papillion-La Vista South High School,1706,Riverside Company / Hastings High School,1744,1
57,Executive Suite / Sioux Falls Roosevelt High School,1704,Classic Connection / Sioux Falls Washington High School,1600,1
58,Spotlight Singers & Company / Brownsburg High School,1701,Premiers / Ben Davis High School,1620,1
59,RAMification / Southeast Polk High School,1696,Northside Establishment / Davenport North High School,1766,0
60,Step on Stage / Horizon High School,1683,NHS Singers / Noblesville High School,1571,1
61,In Sync / Burbank High School,1682,N/A,-1,0
62,Modulations / El Paso-Gridley High School,1682,AcaPella / Pella High School,1648,2
63,Good Times / Martinsburg High School,1682,Capital Swing / Manchester High School,1615,1
64,VIBE / Daniel Hand High School,1680,Music Unlimited / Waltham High School,1720,3
