rank,name,elo,bestWin,bestWinElo,GCs
1,Sound Check / Waubonsie Valley High School,1839,Great Expectations / Twinsburg High School,1760,4
2,Innovation / Johnston High School,1828,Amazing Technicolor Show Choir / Westside High School,1773,5
3,Power Company / Waconia High School,1803,Happiness Inc. / Cedar Rapids Kennedy High School,1692,5
4,Amazing Technicolor Show Choir / Westside High School,1803,Excel / Elkhorn High School,1697,4
5,Sound System / Center Grove High School,1801,Riverside Company / Hastings High School,1809,4
6,Titan Fever / Glenwood High School,1793,Riverside Company / Hastings High School,1809,4
7,The Ambassadors / Prairie High School,1793,AcaPella / Pella High School,1679,3
8,Purple Harmony / Keokuk High School,1784,InMotion / Mt. Pleasant Community High School,1556,5
9,Swingers Unlimited / Marysville High School,1773,Music in Motion / Solon High School,1722,4
10,Blackout / Elkhorn South High School,1762,Excel / Elkhorn High School,1716,3
11,Riverside Company / Hastings High School,1754,Infinity / Millard North High School,1685,4
12,Great Expectations / Twinsburg High School,1750,By Request / Loveland High School,1736,4
13,Hilltoppers / Onalaska High School,1748,West in the Groove / Millard West High School,1697,4
14,Millennium / Waukee High School,1745,Friend de Coup / Mitchell High School,1651,2
15,Panache / Oliver Ames High School,1744,VIBE / Daniel Hand High School,1500,1
16,Spectrum / Ankeny Centennial High School,1740,Millennium / Waukee High School,1690,2
17,Royalaires / Zionsville High School,1740,By Request / Loveland High School,1767,2
18,Music in Motion / Solon High School,1738,Classic Connection / DeKalb High School,1670,2
19,By Request / Loveland High School,1732,Show Cards / Colerain High School,1678,3
20,Attaché / Clinton High School,1723,Soundsations / Petal High School,1669,2
21,The Classics / Wheaton Warrenville South High School,1721,Executive Session / Sauk Prairie High School,1680,2
22,West in the Groove / Millard West High School,1717,Excel / Elkhorn High School,1697,1
23,Ensemble / Burke High School,1715,Knight Sounds / Lincoln Southeast High School,1500,1
24,Pointe Singers / Grosse Pointe South High School,1711,Music Warehouse / Edgewood High School,1688,2
25,Happiness Inc. / Cedar Rapids Kennedy High School,1709,The Ambassadors / Prairie High School,1723,3
26,New Score Singers / Smith-Cotton High School,1709,Oak Street Singers / Oak Park High School,1711,2
27,First Edition / Findlay High School,1707,The All Americans / ETC School of Musical Arts,1690,3
28,Company of Singers / Totino-Grace High School,1704,Happiness Inc. / Cedar Rapids Kennedy High School,1692,1
29,Minstrel Magic / Carroll High School,1697,Classic Connection / DeKalb High School,1662,2
30,F.C. Singers / Franklin Central High School,1694,VIBE / Daniel Hand High School,1680,1
31,The Network / Homewood High School,1679,Brio / Brandon High School,1637,1
32,Excel / Elkhorn High School,1678,Infinity / Millard North High School,1620,2
33,Grand Central Station / La Crosse Central High School,1673,Executive Session / Sauk Prairie High School,1590,0
34,Music Warehouse / Edgewood High School,1672,Great Expectations / Twinsburg High School,1662,2
