rank,name,elo,bestWin,bestWinElo,GCs
1,Sound System / Center Grove High School,2400,Ambassadors / Carmel High School,2321,5
2,10th Street Edition / Linn-Mar High School,2384,Ambassadors / Carmel High School,2341,4
3,Innovation / Johnston High School,2362,Spectrum / Ankeny Centennial High School,2182,3
4,Ambassadors / Carmel High School,2357,Royalaires / Zionsville High School,2148,3
5,Attaché / Clinton High School,2314,Visions / Grenada High School,1971,2
6,Revolution / Gretna High School,2215,Amazing Technicolor Show Choir / Westside High School,2136,3
7,F.C. Singers / Franklin Central High School,2202,N/A,-1,0
8,West in the Groove / Millard West High School,2177,Revolution / Gretna High School,2222,4
9,Amazing Technicolor Show Choir / Westside High School,2170,Friend de Coup / Mitchell High School,2125,4
10,Swingers Unlimited / Marysville High School,2163,The All Americans / ETC School of Musical Arts,1978,4
11,Royalaires / Zionsville High School,2139,Swingers Unlimited / Marysville High School,2208,0
12,Friend de Coup / Mitchell High School,2136,West in the Groove / Millard West High School,2158,2
13,Spectrum / Ankeny Centennial High School,2115,Studio / Urbandale High School,2160,2
14,Resonance / Lincoln Southwest High School,2113,Revolution / Gretna High School,2142,3
15,Millennium / Waukee High School,2107,West in the Groove / Millard West High School,2158,1
16,Visual Adrenaline / Ankeny High School,2103,Spectrum / Ankeny Centennial High School,2182,3
17,The Network / Homewood High School,2097,Singers / Oak Mountain High School,2018,3
18,Music in Motion / Solon High School,2093,By Request / Loveland High School,1914,4
19,Sound FX / Los Alamitos High School,2085,Royalaires / Zionsville High School,2148,0
20,Central Singers Inc. / Davenport Central High School,2072,Entourage / Naperville North High School,1886,4
21,Eos / Waukee Northwest High School,2064,Innovation / Johnston High School,2320,1
22,Tiger Rhythm / Broken Arrow High School,2058,Riverside Company / Hastings High School,1914,4
23,Singers / Oak Mountain High School,2048,Visions / Grenada High School,1979,2
24,FC Singers / Franklin Central High School,2046,Royalaires / Zionsville High School,2171,2
25,Flight / Wheaton North High School,2005,First Edition / Lafayette Jefferson High School,1906,3
26,Visions / Grenada High School,2005,Express / Troy Buchanan High School,1965,3
27,The Headliners / Sioux City East High School,1998,Resonance / Lincoln Southwest High School,2146,3
28,Red Hot / Hurricane High School,1997,Spotlight / Cosby High School,1924,6
29,Equinox / Gretna East High School,1992,Riverside Company / Hastings High School,1967,3
30,Hilltoppers / Onalaska High School,1985,Rhythm In Gold / Bloomington Kennedy High School,1941,5
31,Choraleers / Neosho High School,1982,Singers / Webb City High School,1757,3
32,Studio / Urbandale High School,1980,Swingsations / Mt. Zion High School,1981,1
33,The Classics / Wheaton Warrenville South High School,1969,Express / Troy Buchanan High School,1965,2
34,The All Americans / ETC School of Musical Arts,1961,General Admission / Winfield High School,1692,1
35,Spotlight / Cosby High School,1949,Capital Swing / Manchester High School,1709,3
36,Powerhouse / John Burroughs High School,1946,N/A,-1,0
37,Brio / Brandon High School,1943,Visions / Grenada High School,1979,1
38,Soundsations / Petal High School,1935,Varsity Singers / Auburn High School,1898,0
