rank,name,elo,bestWin,bestWinElo,GCs
255,Ovation! / O'Gorman High School,1512,N/A,-1,0
256,Encore Singers / Jay M. Robinson Middle School,1512,N/A,-1,0
257,Uptown / Millard West High School,1512,Southwest Effect / Fort Worth Southwest High School,1514,0
258,Aurora / Waukee Northwest High School,1510,N/A,-1,0
259,Titan Radiance / Papillion-La Vista South High School,1510,N/A,-1,0
260,Impressions / Burbank High School,1509,N/A,-1,0
261,Bull City Lights / Voyager Academy,1507,N/A,-1,0
262,Show Choir / Mitchell High School,1507,N/A,-1,0
263,Howlin' Huskies / William A. Hough High School,1507,N/A,-1,0
264,Executive OrderJohn F. Kennedy High School / undefined,1506,N/A,-1,0
265,Falcon Legacy / Falcon High School,1506,Powerhouse / Scottsbluff High School,1500,0
266,Upstage Adrenaline / Sparta High School,1505,South High Street Singers / Fort Atkinson High School,1531,1
267,Sound SensationsGrand Junction Central High School / undefined,1505,N/A,-1,0
268,Pizzazz / Parkway Central High School,1504,N/A,-1,0
269,Perpetual Motion / Ankeny High School,1504,Intensity / Ankeny High School,1500,0
270,Rhythm Express / Fairfield Middle School,1503,N/A,-1,0
271,FAME / FAME School of Performing Arts,1503,Vocal Motion / Strike It Up Artistic Center,1500,0
272,Showstoppers / Triton High School,1501,N/A,-1,0
273,Harmony In Motion / West Brunswick High School,1501,N/A,-1,0
274,Show Choir / Northeast Guilford High School,1501,N/A,-1,0
275,Music Warehouse / Edgewood High School,1501,Sophisticated Ladies / Edgewood High School,1395,0
276,Rhapsody / Rangeview High School,1500,N/A,-1,0
277,Chromatics / Rangeview High School,1500,N/A,-1,0
278,PowerhouseJohn Burroughs High School / undefined,1500,N/A,-1,0
279,In SyncBurbank High School / undefined,1500,N/A,-1,0
280,MasqueradeBrea Olinda High School / undefined,1500,N/A,-1,0
281,Show Choir / Mt. Desert Island High School,1500,N/A,-1,0
282,Voices Unlimited / Hampden Academy,1500,N/A,-1,0
283,Showformance / Lake Norman High School,1500,N/A,-1,0
284,Show Choir / Atkins Academic & Technology High School,1500,N/A,-1,0
285,Hornet Harmony / Hillside High School,1500,N/A,-1,0
286,Perfect Intentions / Overhills High School,1500,N/A,-1,0
287,Show Choir / Brunswick Early College High School,1500,N/A,-1,0
288,Doo-WAHS / Western Alamance High School,1500,N/A,-1,0
289,Royal StewartsGlendora High School / undefined,1500,N/A,-1,0
290,MarquisDiamond Bar High School / undefined,1500,N/A,-1,0
291,Class Act / Oak Mountain Middle School,1500,N/A,-1,0
292,Platinum FXChaparral High School / undefined,1500,N/A,-1,0
293,UpBeat! / Walter Reed Middle School,1500,N/A,-1,0
294,Imaginations / John Muir Middle School,1500,N/A,-1,0
295,Encore! / Travis Ranch Middle School,1500,N/A,-1,0
296,New Beginnings / Harris Road Middle School,1500,N/A,-1,0
297,Show Choir / Seventy-First Classical Middle School,1500,N/A,-1,0
298,Show Choir / Hanes Magnet School,1500,N/A,-1,0
299,Show Choir / Mt. Airy Middle School,1500,N/A,-1,0
300,Raider Show Choir / Randolph Middle School,1500,N/A,-1,0
301,EncorePacifica High School / undefined,1500,N/A,-1,0
302,High VoltageCypress High School / undefined,1500,N/A,-1,0
303,InfusionJohn A. Rowland High School / undefined,1500,N/A,-1,0
304,Singers / Sidney High School,1500,N/A,-1,0
305,The Bell System / L.D. Bell High School,1498,Aerodynamix / Timber Creek High School,1588,0
306,Sound FX / Mundelein High School,1498,N/A,-1,0
307,Northern Lights / North St. Paul High School,1497,Bridge Street Singers / St. Francis High School,1713,0
308,Central Attraction / Pearl River Central High School,1497,N/A,-1,0
309,Bel Canto Bulldogs / Doddridge County High School,1497,N/A,-1,0
310,Chorale / Gahanna Lincoln High School,1495,N/A,-1,0
311,Rhapsody in Blue / Spain Park High School,1495,N/A,-1,0
312,Mountain MelodiesFruita Monument High School / undefined,1495,N/A,-1,0
313,Touch of Class / Joplin High School,1495,Sound Dimension / Joplin High School,1692,0
314,Delegation / Danville High School,1494,Titan Fever / Glenwood High School,1707,0
315,Finale / Edmond Santa Fe High School,1494,N/A,-1,0
316,Intensity / Millard North High School,1493,N/A,-1,0
