rank,name,elo,bestWin,bestWinElo,GCs
1,Sound System / Center Grove High School,2193,Ambassadors / Carmel High School,2167,4
2,Spectrum / Ankeny Centennial High School,2183,Studio / Urbandale High School,1957,3
3,Ambassadors / Carmel High School,2170,Sound System / Center Grove High School,2188,4
4,10th Street Edition / Linn-Mar High School,2123,Spectrum / Ankeny Centennial High School,2227,4
5,Attaché / Clinton High School,2110,Soundsations / Petal High School,1925,3
6,Swingers Unlimited / Marysville High School,2102,By Request / Loveland High School,1939,5
7,Royalaires / Zionsville High School,2098,Swingsations / Mt. Zion High School,1906,2
8,Friend de Coup / Mitchell High School,2093,Power Company / Waconia High School,1993,4
9,F.C. Singers / Franklin Central High School,2056,Sound System / Center Grove High School,2188,2
10,Innovation / Johnston High School,2031,Visual Adrenaline / Ankeny High School,1832,2
11,Sound FX / Los Alamitos High School,2030,Spectrum / Ankeny Centennial High School,2217,1
12,Riverside Company / Hastings High School,2022,West in the Groove / Millard West High School,1944,3
13,Amazing Technicolor Show Choir / Westside High School,2000,Express / Troy Buchanan High School,2018,4
14,West in the Groove / Millard West High School,1983,Friend de Coup / Mitchell High School,1995,2
15,Express / Troy Buchanan High School,1980,Titanium / Papillion-La Vista South High School,1921,3
16,Studio / Urbandale High School,1969,Titanium / Papillion-La Vista South High School,1917,0
17,The Classics / Wheaton Warrenville South High School,1967,Riverside Company / Hastings High School,1962,5
18,Titanium / Papillion-La Vista South High School,1960,Studio / Urbandale High School,1960,4
19,By Request / Loveland High School,1948,First Edition / Findlay High School,1939,5
20,Central Singers Inc. / Davenport Central High School,1947,Flight / Wheaton North High School,1855,3
21,New Dimensions / Clover Hill High School,1944,Spotlight / Cosby High School,1760,4
22,Brio / Brandon High School,1942,Varsity Singers / Auburn High School,1868,4
23,Power Company / Waconia High School,1937,Riverside Company / Hastings High School,1965,3
24,Swingsations / Mt. Zion High School,1933,Brio / Brandon High School,1976,2
25,Free Spirit / Papillion-La Vista High School,1927,Power Company / Waconia High School,1993,2
26,Millennium / Waukee High School,1915,Revolution / Gretna High School,1687,1
27,Vocalmotive / Bemidji High School,1909,Midwest Express / Holmen High School,1786,2
28,First Edition / Findlay High School,1893,Legacy / Ross High School,1841,1
29,Tiger Rhythm / Broken Arrow High School,1893,Hillside Singers / Pleasant Hill High School,1881,2
30,Choralation / Valley High School,1892,Eagle Express / Aberdeen Central High School,1860,1
31,Spotlight Singers & Company / Brownsburg High School,1885,Choraliers / Fairfield Senior High School,1748,1
32,Counterpoints / North Central High School,1878,Elite Energy / Decatur Show Choir Complex,1851,1
33,Red Hot / Hurricane High School,1877,Spotlight Singers & Company / Brownsburg High School,1947,5
34,Choraleers / Neosho High School,1875,Hillside Singers / Pleasant Hill High School,1864,5
35,NHS Singers / Noblesville High School,1867,Minstrel Magic / Carroll High School,1849,3
36,Flight / Wheaton North High School,1867,Sound Check / Waubonsie Valley High School,1923,0
37,Varsity Singers / Auburn High School,1865,Encores / Enterprise High School,1722,2
38,The Network / Homewood High School,1859,Titan Fever / Glenwood High School,1745,2
39,The Company / Piqua High School,1834,First Edition / Findlay High School,1931,2
40,Singers / Oak Mountain High School,1830,Brio / Brandon High School,1976,1
41,RAMification / Southeast Polk High School,1825,Central Singers Inc. / Davenport Central High School,1890,2
42,Gold / Norris High School,1822,Power Company / Waconia High School,1993,2
43,Visual Adrenaline / Ankeny High School,1821,RAMification / Southeast Polk High School,1819,1
44,Music Unlimited / Waltham High School,1819,Fantasy / Shepherd Hill Regional High School,1674,4
45,Eos / Waukee Northwest High School,1810,Titanium / Papillion-La Vista South High School,1917,1
46,14 Karat Gold / Grand Island Northwest High School,1808,South on Stage / Millard South High School,1678,3
47,Powerhouse / John Burroughs High School,1805,Tiger Rhythm / Broken Arrow High School,2012,1
48,Resonance / Lincoln Southwest High School,1799,Millennium / Waukee High School,1981,0
49,First Edition / Lafayette Jefferson High School,1796,Spotlight Singers & Company / Brownsburg High School,1930,2
50,Elite Energy / Decatur Show Choir Complex,1791,Sound Check / Waubonsie Valley High School,1923,1
51,Hillside Singers / Pleasant Hill High School,1789,Soundwave / Carthage Senior High School,1613,1
52,Hilltoppers / Onalaska High School,1786,Grand Central Station / La Crosse Central High School,1672,1
53,Soundsations / Petal High School,1778,Central Attraction / Pearl River Central High School,1575,2
54,Infinity / Millard North High School,1778,Vocalmotive / Bemidji High School,1966,1
55,Express / Lincoln East High School,1767,Millennium / Waukee High School,1981,1
56,Spotlight / Cosby High School,1764,Capital Swing / Manchester High School,1652,2
57,Soundsations / Texas City High School,1754,Choraliers / Arlington High School,1559,1
58,Entourage / Naperville North High School,1754,River City Revue / Hannibal High School,1749,1
59,Electrum / Fishers High School,1754,Counterpoints / North Central High School,1884,1
60,Eagle Express / Aberdeen Central High School,1752,Vocalmotive / Bemidji High School,1966,0
61,Executive Suite / Sioux Falls Roosevelt High School,1752,Eagle Express / Aberdeen Central High School,1860,1
62,Modulations / El Paso-Gridley High School,1749,Elite Energy / Decatur Show Choir Complex,1794,5
63,Knight Sensations / Castle High School,1745,Class Royale / Homestead High School,1760,1
64,Scarlet Knights / Bishop Neumann High School,1745,Forte / Aquinas High School,1500,1
65,In Sync / Burbank High School,1744,N/A,-1,0
66,Accents / Avon High School,1727,Encores / Pike High School,1629,1
67,Double Time / Excelsior Middle School,1726,Adrenaline / Taft Middle School,1590,1
68,Imagination / West Jones High School,1726,Central Attraction / Pearl River Central High School,1629,1
69,Legacy / Ross High School,1725,Friends / Beavercreek High School,1680,1
70,The Headliners / Sioux City East High School,1724,Eagle Express / Aberdeen Central High School,1890,0
71,Encore / Jackson Academy,1722,Soundsations / Petal High School,1925,0
72,The Ambassadors / Prairie High School,1717,River City Revue / Hannibal High School,1749,0
73,Sound FX / Hanover High School,1717,N/A,-1,0
74,Ensemble / Burke High School,1715,N/A,-1,0
75,Class Royale / Homestead High School,1714,Legacy / Ross High School,1712,2
76,Encores / Enterprise High School,1714,8th Street Singing Company / Tift County High School,1523,0
77,Titan Fever / Glenwood High School,1706,Sound Check / Waubonsie Valley High School,1923,0
78,Premiers / Ben Davis High School,1704,Friends / Beavercreek High School,1804,0
79,Tribe! / Keller High School,1702,Choraliers / Arlington High School,1652,0
80,Ultimate Image / Grand Island Senior High School,1701,Eagle Express / Aberdeen Central High School,1809,2
81,Royal Pride / Norfolk Senior High School,1700,N/A,-1,0
82,Encore Entertainment Company / Medina High School,1697,The All Americans / ETC School of Musical Arts,1647,0
83,Expressions / Buffalo Grove High School,1696,N/A,-1,0
84,Choraliers / Fairfield Senior High School,1695,Music in Motion / Solon High School,1898,0
85,Rhythm in Gold / Bloomington Kennedy High School,1694,Bridge Street Singers / St. Francis High School,1676,0
86,Voices of Central / Keller Central High School,1693,N/A,-1,0
87,Fantasy / Shepherd Hill Regional High School,1692,VIBE / Daniel Hand High School,1652,0
88,South on Stage / Millard South High School,1689,14 Karat Gold / Grand Island Northwest High School,1779,3
89,River City Revue / Hannibal High School,1686,Sound Dimension / Joplin High School,1658,0
90,Singers / Sidney High School,1680,N/A,-1,0
91,Music in Motion / Solon High School,1680,Legacy / Ross High School,1841,0
92,Touch of Class / Grove City High School,1679,Music in Motion / Solon High School,1898,0
93,Blackout / Elkhorn South High School,1678,The Headliners / Sioux City East High School,1834,1
94,Keynotes / Olentangy High School,1677,Tiger Rhythm / Broken Arrow High School,2012,1
95,Happiness Inc. / Cedar Rapids Kennedy High School,1675,The Ambassadors / Prairie High School,1778,0
96,Sidney State of Mind / Sidney High School,1666,Rhythm / Vista Ridge High School,1505,1
97,Purple Harmony / Keokuk High School,1659,N/A,-1,0
98,AcaPella / Pella High School,1657,Light Inc. / Des Moines Christian School,1517,2
99,Sound Revolution / Norwalk High School,1656,Vivace / Skutt Catholic High School,1520,0
100,The All Americans / ETC School of Musical Arts,1652,Minstrel Magic / Carroll High School,1828,1
101,Minstrel Magic / Carroll High School,1649,Rhythm Masters / Whiteland Community High School,1540,1
102,Showcats / Nitro High School,1642,Vocal Intensity / Robert C. Byrd High School,1584,3
103,Masquerade / Brea Olinda High School,1637,N/A,-1,0
104,Revolution / Gretna High School,1636,The Headliners / Sioux City East High School,1834,0
105,Soundwave / Peoria Area Performing Arts Studio,1634,Swingers Unlimited / Marysville High School,2083,2
106,Sound Express / Carlsbad High School,1633,N/A,-1,0
107,Rhapsody In Blue / Spain Park High School,1633,Nexus / Homewood High School,1500,0
108,Sound Vibrations / Hart High School,1632,N/A,-1,0
109,Illusion / Shepherd Hill Regional High School,1632,N/A,-1,0
110,Top Twenty / Kenton High School,1630,Visions / Buckeye Valley High School,1481,2
111,Executive Session / Sauk Prairie High School,1629,Midwest Express / Holmen High School,1786,1
112,CenterStage! / Albertville High School,1628,Encores / Enterprise High School,1731,1
113,Trojanaires / Jenks High School,1627,Hillside Singers / Pleasant Hill High School,1872,0
114,The Ambassadors / Northwest Rankin High School,1626,Visions / Grenada High School,1785,0
115,Marquis / Diamond Bar High School,1625,N/A,-1,0
116,4th Avenue Jazz Company / Iowa City High School,1622,Eternal Rush / Ankeny Centennial High School,1647,2
117,G Major / St. George's School of Montreal,1621,N/A,-1,0
118,SpectrumPius X High School / undefined,1620,N/A,-1,0
119,Monarch Mirage / Mt. Eden High School,1620,N/A,-1,0
120,Jam Session / De Pere High School,1618,The Class Act / Logan High School,1704,1
121,Momentum / Cedar Rapids Washington High School,1618,New Creation / Marion High School,1592,0
122,Sound Dimension / Joplin High School,1616,City Lights / Rock Bridge High School,1526,1
123,Grand Central Station / La Crosse Central High School,1615,Excel / Elkhorn High School,1525,0
124,Rhythm / Vista Ridge High School,1614,Cardinal & Black Singers / Harvard High School,1500,0
125,Jefferson Connection / Bloomington Jefferson High School,1609,Grand Central Station / La Crosse Central High School,1590,1
126,Sound Check / Waubonsie Valley High School,1609,N/A,-1,0
127,Northside Establishment / Davenport North High School,1606,The Ambassadors / Prairie High School,1778,1
128,Classic Connection / Sioux Falls Washington High School,1606,Swingsations / Carroll High School,1539,1
129,Platinum FX / Chaparral High School,1606,N/A,-1,0
130,Noteworthy / Oak Park and River Forest High School,1606,N/A,-1,0
131,Starlights / Northridge High School,1605,N/A,-1,0
132,Adrenaline / Taft Middle School,1604,Neo Classic / Harding Middle School,1500,0
133,Impulse / Wahlert Catholic High School,1603,Northside Establishment / Davenport North High School,1601,0
134,High Impact / Matoaca High School,1602,N/A,-1,0
135,Splash / Etobicoke School of the Arts,1602,N/A,-1,0
136,Reveillon / Jackson Preparatory School,1601,Tribe! / Keller High School,1774,0
