rank,name,elo,bestWin,bestWinElo,GCs
1,Ambassadors / Carmel High School,2290,Sound System / Center Grove High School,2240,5
2,Innovation / Johnston High School,2286,Spectrum / Ankeny Centennial High School,2158,4
3,Sound System / Center Grove High School,2219,Amazing Technicolor Show Choir / Westside High School,2112,2
4,F.C. Singers / Franklin Central High School,2202,Sound System / Center Grove High School,2240,2
5,Attaché / Clinton High School,2201,The Classics / Wheaton Warrenville South High School,2033,3
6,10th Street Edition / Linn-Mar High School,2196,Riverside Company / Hastings High School,2122,5
7,Royalaires / Zionsville High School,2176,Soundsations / Petal High School,1914,2
8,Studio / Urbandale High School,2168,Spectrum / Ankeny Centennial High School,2262,3
9,First Edition / Findlay High School,2119,Riverside Company / Hastings High School,2122,4
10,Amazing Technicolor Show Choir / Westside High School,2096,Friend de Coup / Mitchell High School,2098,4
11,Riverside Company / Hastings High School,2071,Spectrum / Ankeny Centennial High School,2175,3
12,The Network / Homewood High School,2070,Riverside Company / Hastings High School,2122,4
13,Friend de Coup / Mitchell High School,2058,Amazing Technicolor Show Choir / Westside High School,2152,3
14,Eos / Waukee Northwest High School,2039,Spectrum / Ankeny Centennial High School,2262,2
15,Swingers Unlimited / Marysville High School,2027,Spectrum / Ankeny Centennial High School,2037,2
16,The Classics / Wheaton Warrenville South High School,2013,Sound Check / Waubonsie Valley High School,1984,2
17,Flight / Wheaton North High School,2010,The Classics / Wheaton Warrenville South High School,2033,2
18,Choralation / Valley High School,1991,Spectrum / Ankeny Centennial High School,2158,1
19,West in the Groove / Millard West High School,1989,The Headliners / Sioux City East High School,1837,3
20,Express / Troy Buchanan High School,1984,The Classics / Wheaton Warrenville South High School,2021,2
21,Sound FX / Los Alamitos High School,1983,Spectrum / Ankeny Centennial High School,2037,1
22,Spectrum / Ankeny Centennial High School,1958,Happiness Inc. / Cedar Rapids Kennedy High School,1795,1
23,Swingsations / Mt. Zion High School,1943,Sound Check / Waubonsie Valley High School,2017,2
24,Visual Adrenaline / Ankeny High School,1939,Spectrum / Ankeny Centennial High School,2158,2
25,Millennium / Waukee High School,1933,Happiness Inc. / Cedar Rapids Kennedy High School,1754,1
26,Resonance / Lincoln Southwest High School,1932,Revolution / Gretna High School,1814,1
27,Titanium / Papillion-La Vista South High School,1930,Amazing Technicolor Show Choir / Westside High School,2152,2
28,Express / Lincoln East High School,1916,Resonance / Lincoln Southwest High School,1995,2
29,Brio / Brandon High School,1915,Amazing Technicolor Show Choir / Westside High School,2112,4
30,Soundsations / Petal High School,1914,Varsity Singers / Auburn High School,1885,3
31,Sandpipers / Chesterton High School,1913,Entourage / Naperville North High School,1961,3
32,Legacy / Ross High School,1899,Swingers Unlimited / Marysville High School,2033,4
33,Show Cards / Colerain High School,1899,N/A,-1,0
34,Red Hot / Hurricane High School,1898,By Request / Loveland High School,1980,4
35,Revolution / Gretna High School,1898,Millennium / Waukee High School,2036,2
36,Entourage / Naperville North High School,1894,Titan Fever / Glenwood High School,1764,1
37,Powerhouse / John Burroughs High School,1892,VIBE / Daniel Hand High School,1790,1
38,Counterpoints / North Central High School,1890,Belles et Beaux / Plainfield High School,1806,2
39,Power Company / Waconia High School,1887,Riverside Company / Hastings High School,2063,2
40,Spotlight Singers & Company / Brownsburg High School,1885,Counterpoints / North Central High School,1908,1
41,Rhythm In Gold / Bloomington Kennedy High School,1883,Hilltoppers / Onalaska High School,1942,3
42,Free Spirit / Papillion-La Vista High School,1879,Resonance / Lincoln Southwest High School,1912,2
43,In Sync / Burbank High School,1875,N/A,-1,0
44,By Request / Loveland High School,1874,Red Hot / Hurricane High School,1910,1
45,Tiger Rhythm / Broken Arrow High School,1872,Hillside Singers / Pleasant Hill High School,1685,3
46,Expressions / Buffalo Grove High School,1867,N/A,-1,0
47,Central Singers Inc. / Davenport Central High School,1863,Hilltoppers / Onalaska High School,1918,2
48,Panache / Oliver Ames High School,1837,N/A,-1,0
49,The Company / Piqua High School,1820,By Request / Loveland High School,1980,3
50,Varsity Singers / Auburn High School,1819,Executive Session / Sauk Prairie High School,1699,1
51,Singers / Oak Mountain High School,1818,Varsity Singers / Auburn High School,1885,1
52,Electrum / Fishers High School,1811,Swingsations / Mt. Zion High School,1963,0
53,Belles et Beaux / Plainfield High School,1810,Choraliers / Fairfield Senior High School,1801,2
54,Choraleers / Neosho High School,1804,Hillside Singers / Pleasant Hill High School,1673,3
55,Blackout / Elkhorn South High School,1800,Sound Check / Waubonsie Valley High School,1876,1
56,Choraliers / Fairfield Senior High School,1797,Premiers / Ben Davis High School,1711,1
57,Flight / Wichita All-City,1793,N/A,-1,0
58,Hilltoppers / Onalaska High School,1791,Midwest Express / Holmen High School,1649,3
59,VIBE / Daniel Hand High School,1790,Fantasy / Shepherd Hill Regional High School,1776,3
60,Eagle Express / Aberdeen Central High School,1788,Blackout / Elkhorn South High School,1932,2
61,Titan Fever / Glenwood High School,1783,Varsity Singers / Auburn High School,1885,0
62,Company of Singers / Totino-Grace High School,1782,Choraleers / Neosho High School,1593,1
63,Royal Rhapsody / Roncalli High School,1782,Belles et Beaux / Plainfield High School,1872,2
64,Sound Check / Waubonsie Valley High School,1781,Elite Energy / Decatur Show Choir Complex,1558,0
65,Sound FX / Hanover High School,1771,N/A,-1,0
66,Rhythm in Gold / Bloomington Kennedy High School,1768,N/A,-1,0
67,Pointe Singers / Grosse Pointe South High School,1764,Encore Entertainment Company / Medina High School,1681,1
68,AcaPella / Pella High School,1763,Momentum / Cedar Rapids Washington High School,1795,1
69,Minstrel Magic / Carroll High School,1761,Spectrum / Ankeny Centennial High School,2037,3
70,The Headliners / Sioux City East High School,1761,Jefferson Connection / Bloomington Jefferson High School,1640,1
71,14 Karat Gold / Grand Island Northwest High School,1755,South on Stage / Millard South High School,1805,2
72,The Ambassadors / Prairie High School,1751,NHS Singers / Noblesville High School,1791,1
73,NHS Singers / Noblesville High School,1747,Charisma / Northrop High School,1544,1
74,Ascension / Vista PEAK Preparatory,1746,Sidney State of Mind / Sidney High School,1666,1
75,Momentum / Cedar Rapids Washington High School,1740,New Creation / Marion High School,1740,1
76,RAMification / Southeast Polk High School,1738,Central Singers Inc. / Davenport Central High School,1774,2
77,Spotlight / Cosby High School,1736,New Dimensions / Clover Hill High School,1908,3
78,New Creation / Marion High School,1735,Dimensions / Dowling Catholic High School,1589,1
79,Touch of Class / Grove City High School,1730,Music in Motion / Solon High School,1789,1
80,Sound Vibrations / Hart High School,1720,N/A,-1,0
81,Double Time / Excelsior Middle School,1714,Adrenaline / Taft Middle School,1604,0
82,New Dimensions / Clover Hill High School,1713,Encore / Colonial Forge High School,1500,1
83,Voices of Central / Keller Central High School,1712,Silver Elite / Legacy High School,1577,1
84,Happiness Inc. / Cedar Rapids Kennedy High School,1710,Tiger Rhythm / Broken Arrow High School,1959,1
85,Music Unlimited / Waltham High School,1709,By Request / Loveland High School,1896,2
86,Bridge Street Singers / St. Francis High School,1703,Vocalmotive / Bemidji High School,1830,1
87,Imagination / West Jones High School,1701,Gold Horizons / Northeast Jones Jr/Sr High School,1501,0
88,Jam Session / De Pere High School,1701,Hilltoppers / Onalaska High School,1918,2
89,General Admission / Winfield High School,1699,Showcats / Nitro High School,1581,1
90,Executive Session / Sauk Prairie High School,1698,West Side Delegation / Cedar Rapids Jefferson High School,1747,3
91,Masquerade / Brea Olinda High School,1697,N/A,-1,0
92,Hillside Singers / Pleasant Hill High School,1689,Soundwave / Carthage Senior High School,1596,0
93,The All Americans / ETC School of Musical Arts,1687,The Company / Piqua High School,1848,1
94,Reveille / Madison Central High School,1684,Reveillon / Jackson Preparatory School,1723,1
95,Voices in Motion / Duke Ellington School of the Arts,1684,N/A,-1,0
96,Center Stage / Oak Grove High School,1682,N/A,-1,0
97,The Music Machine / Bonita Vista High School,1682,N/A,-1,0
98,Modulations / El Paso-Gridley High School,1681,Magic / Manteno High School,1609,1
99,Side One / Indianola High School,1680,Sound Check / Waubonsie Valley High School,1876,0
100,Bella Vocé / Webb City High School,1678,Hillside Singers / Pleasant Hill High School,1864,1
101,Sound / Mundelein High School,1678,Hilltoppers / Onalaska High School,1918,2
102,Sound Express / Carlsbad High School,1677,N/A,-1,0
103,Knight Sensations / Castle High School,1675,Legacy / Lawrence North High School,1438,0
104,Sound Dimension / Joplin High School,1673,Bella Vocé / Webb City High School,1664,2
105,Knight Scene / Thomas Dale High School,1663,N/A,-1,0
106,Athenians / Gateway High School,1663,N/A,-1,0
107,Grand Central Station / La Crosse Central High School,1662,Momentum / Cedar Rapids Washington High School,1804,0
108,Evolution / American Leadership Academy,1660,N/A,-1,0
109,Vocalmotive / Bemidji High School,1660,Grand Central Station / La Crosse Central High School,1759,1
110,Tribe! / Keller High School,1657,Reveillon / Jackson Preparatory School,1644,0
111,Encore / Jackson Academy,1657,Visions / Grenada High School,1708,0
112,Amherechos / Amherst County High School,1656,N/A,-1,0
113,Venus / Gateway High School,1651,N/A,-1,0
114,Synergy / Tupelo High School,1651,Reveillon / Jackson Preparatory School,1723,0
115,Visions / Grenada High School,1650,Reveille / Madison Central High School,1693,2
116,Ultimate Image / Grand Island Senior High School,1650,Blackout / Elkhorn South High School,1807,0
117,Legacy / Sioux Falls Jefferson High School,1648,Eagle Express / Aberdeen Central High School,1791,1
118,Great Expectations / Twinsburg High School,1648,N/A,-1,0
119,Class Royale / Homestead High School,1647,Accents / Avon High School,1549,1
120,Silver Elite / Legacy High School,1647,Choraliers / Arlington High School,1564,0
121,Reveillon / Jackson Preparatory School,1644,Reveille / Madison Central High School,1684,1
122,Showcats / Nitro High School,1642,Voices In Perfection / Capital High School,1569,1
123,Classic Illumination / Franklin Middle School,1639,Double Time / Excelsior Middle School,1726,1
124,Satin 'n Lace / Rock Bridge High School,1637,N/A,-1,0
125,Capital Swing / Manchester High School,1636,New Dimensions / Clover Hill High School,1908,0
126,St. C Singers / St. Clairsville High School,1633,N/A,-1,0
127,Rhapsody In Blue / Spain Park High School,1633,N/A,-1,0
128,Rhythm / Vista Ridge High School,1630,Sidney State of Mind / Sidney High School,1666,0
129,Corporation / Lewis Central High School,1629,Grand Central Station / La Crosse Central High School,1771,3
130,South on Stage / Millard South High School,1628,Excel / Elkhorn High School,1551,1
131,Rhythm Masters / Whiteland Community High School,1628,Knight Moves / Norwell High School,1408,0
132,Splash / Etobicoke School of the Arts,1626,Synergy / Unionville High School,1539,1
133,Soundwave / Peoria Area Performing Arts Studio,1626,Magic / Manteno High School,1547,1
134,Light Inc. / Des Moines Christian School,1624,Fast Lane / Glenwood Community High School,1537,1
135,River City Revue / Hannibal High School,1624,Soundwave / Carthage Senior High School,1552,1
