rank,name,elo,bestWin,bestWinElo,GCs
1,Sound System / Center Grove High School,2476,Swingers Unlimited / Marysville High School,2163,5
2,10th Street Edition / Linn-Mar High School,2470,Innovation / Johnston High School,2394,4
3,Ambassadors / Carmel High School,2374,Magic / Carroll High School,1953,2
4,Attaché / Clinton High School,2364,Singers / Oak Mountain High School,2048,3
5,Innovation / Johnston High School,2310,Eos / Waukee Northwest High School,2183,3
6,Revolution / Gretna High School,2273,West in the Groove / Millard West High School,2234,2
7,Swingers Unlimited / Marysville High School,2238,Music in Motion / Solon High School,2116,4
8,Spectrum / Ankeny Centennial High School,2217,Studio / Urbandale High School,2080,3
9,West in the Groove / Millard West High School,2213,Friend de Coup / Mitchell High School,2136,1
10,F.C. Singers / Franklin Central High School,2202,N/A,-1,0
11,Eos / Waukee Northwest High School,2182,Visual Adrenaline / Ankeny High School,2133,3
12,Royalaires / Zionsville High School,2160,Counterpoints / North Central High School,1973,1
13,Visual Adrenaline / Ankeny High School,2152,The Headliners / Sioux City East High School,1904,2
14,Tiger Rhythm / Broken Arrow High School,2147,Choraleers / Neosho High School,1982,4
15,Studio / Urbandale High School,2134,West in the Groove / Millard West High School,2221,2
16,Equinox / Gretna East High School,2134,Amazing Technicolor Show Choir / Westside High School,2170,2
17,FC Singers / Franklin Central High School,2133,Singers / Oak Mountain High School,2054,2
18,Central Singers Inc. / Davenport Central High School,2127,The Classics / Wheaton Warrenville South High School,1969,2
19,Music in Motion / Solon High School,2120,Red Hot / Hurricane High School,1997,3
20,Choralation / Valley High School,2083,Equinox / Gretna East High School,2139,2
21,Friend de Coup / Mitchell High School,2076,Power Company / Waconia High School,1883,0
22,Flight / Wheaton North High School,2071,Express / Troy Buchanan High School,1946,2
23,Millennium / Waukee High School,2051,Happiness Inc. / Cedar Rapids Kennedy High School,1854,1
24,The Network / Homewood High School,2046,Accents / Avon High School,1933,1
25,Singers / Oak Mountain High School,2043,Electrum / Fishers High School,1908,1
26,Amazing Technicolor Show Choir / Westside High School,2032,West in the Groove / Millard West High School,2230,2
27,Resonance / Lincoln Southwest High School,2021,Spectrum / Pius X High School,1879,1
28,Rhythm In Gold / Bloomington Kennedy High School,2011,Friend de Coup / Mitchell High School,2111,4
29,Choraleers / Neosho High School,1999,Singers / Webb City High School,1873,2
30,Counterpoints / North Central High School,1997,Singers / Oak Mountain High School,2054,2
31,Brio / Brandon High School,1997,Synergy / Tupelo High School,1836,2
32,Northside Establishment / Davenport North High School,1987,NHS Singers / Noblesville High School,1903,3
33,14 Karat Gold / Grand Island Northwest High School,1985,Resonance / Lincoln Southwest High School,2113,3
34,Soundsations / Petal High School,1985,Red Hot / Hurricane High School,1835,1
35,Magic / Carroll High School,1981,Flight / Wheaton North High School,2046,1
36,The All Americans / ETC School of Musical Arts,1961,N/A,-1,0
