rank,name,elo,bestWin,bestWinElo,GCs
1,10th Street Edition / Linn-Mar High School,2437,Innovation / Johnston High School,2350,3
2,Attaché / Clinton High School,2421,Sound System / Center Grove High School,2256,3
3,F.C. Singers / Franklin Central High School,2369,Sound System / Center Grove High School,2476,4
4,Innovation / Johnston High School,2343,Spectrum / Ankeny Centennial High School,2196,2
5,Studio / Urbandale High School,2220,Innovation / Johnston High School,2342,3
6,Royalaires / Zionsville High School,2198,Counterpoints / North Central High School,2059,3
7,Swingers Unlimited / Marysville High School,2197,Spectrum / Ankeny Centennial High School,2138,4
8,Eos / Waukee Northwest High School,2182,N/A,-1,0
9,Ambassadors / Carmel High School,2157,First Edition / Findlay High School,2032,2
10,Sound System / Center Grove High School,2150,Riverside Company / Hastings High School,2181,0
11,Equinox / Gretna East High School,2134,N/A,-1,0
12,FC Singers / Franklin Central High School,2133,N/A,-1,0
13,Riverside Company / Hastings High School,2125,10th Street Edition / Linn-Mar High School,2470,4
14,Flight / Wheaton North High School,2124,Studio / Urbandale High School,2275,4
15,Resonance / Lincoln Southwest High School,2110,Tiger Rhythm / Broken Arrow High School,2080,2
16,Amazing Technicolor Show Choir / Westside High School,2105,Riverside Company / Hastings High School,2215,5
17,Sound FX / Los Alamitos High School,2085,Riverside Company / Hastings High School,2181,1
18,Spectrum / Ankeny Centennial High School,2085,Vocalmotive / Bemidji High School,1896,2
19,Titan Fever / Glenwood High School,2085,Studio / Urbandale High School,2275,2
20,Visual Adrenaline / Ankeny High School,2066,Millennium / Waukee High School,2107,3
21,Choralation / Valley High School,2062,Express / Lincoln East High School,1901,1
22,Singers / Oak Mountain High School,2062,8th Street Singing Company / Tift County High School,1631,1
23,Counterpoints / North Central High School,2054,Accents / Avon High School,1941,1
24,Millennium / Waukee High School,2047,Spectrum / Ankeny Centennial High School,2244,0
25,The Headliners / Sioux City East High School,2046,Central Singers Inc. / Davenport Central High School,2127,4
26,Music in Motion / Solon High School,2039,Brio / Brandon High School,1941,1
27,Soundsations / Petal High School,2039,Sound System / Center Grove High School,2256,2
28,Titanium / Papillion-La Vista South High School,2023,Choralation / Valley High School,2090,2
29,The Network / Homewood High School,2019,Soundsations / Petal High School,2057,3
30,Rhythm In Gold / Bloomington Kennedy High School,2011,N/A,-1,0
31,Choraliers / Fairfield Senior High School,2001,Ambassadors / Carmel High School,2265,4
32,In Sync / Burbank High School,1983,Swingers Unlimited / Marysville High School,2290,1
33,Magic / Carroll High School,1981,N/A,-1,0
34,Hilltoppers / Onalaska High School,1965,Resonance / Lincoln Southwest High School,2093,3
35,West in the Groove / Millard West High School,1962,Friend de Coup / Mitchell High School,1870,1
36,Powerhouse / John Burroughs High School,1959,Fantasy / Shepherd Hill Regional High School,1773,1
37,Varsity Singers / Auburn High School,1959,Soundsations / Petal High School,2057,2
