rank,name,elo,bestWin,bestWinElo,GCs
1,Spectrum / Ankeny Centennial High School,2251,Millennium / Waukee High School,1978,4
2,Sound System / Center Grove High School,2227,Royalaires / Zionsville High School,2159,4
3,Innovation / Johnston High School,2192,Amazing Technicolor Show Choir / Westside High School,2092,3
4,Royalaires / Zionsville High School,2162,Express / Troy Buchanan High School,1986,3
5,F.C. Singers / Franklin Central High School,2152,Sound System / Center Grove High School,2206,3
6,Attaché / Clinton High School,2131,Varsity Singers / Auburn High School,1986,2
7,Studio / Urbandale High School,2101,West in the Groove / Millard West High School,1983,3
8,Ambassadors / Carmel High School,2099,F.C. Singers / Franklin Central High School,2117,3
9,Amazing Technicolor Show Choir / Westside High School,2065,Innovation / Johnston High School,2127,4
10,Riverside Company / Hastings High School,2063,10th Street Edition / Linn-Mar High School,2123,5
11,Millennium / Waukee High School,2036,10th Street Edition / Linn-Mar High School,2123,1
12,The Classics / Wheaton Warrenville South High School,2021,Swingers Unlimited / Marysville High School,2024,1
13,Sound Check / Waubonsie Valley High School,2017,Ambassadors / Carmel High School,2250,4
14,10th Street Edition / Linn-Mar High School,2010,Amazing Technicolor Show Choir / Westside High School,2092,1
15,Resonance / Lincoln Southwest High School,1995,The Classics / Wheaton Warrenville South High School,2013,2
16,First Edition / Findlay High School,1987,Swingers Unlimited / Marysville High School,2102,4
17,Swingers Unlimited / Marysville High School,1982,New Dimensions / Clover Hill High School,1994,1
18,By Request / Loveland High School,1980,Swingers Unlimited / Marysville High School,2014,3
19,Friend de Coup / Mitchell High School,1970,The Headliners / Sioux City East High School,1804,3
20,Tiger Rhythm / Broken Arrow High School,1959,Soundsations / Texas City High School,1754,3
21,Counterpoints / North Central High School,1952,Spotlight Singers & Company / Brownsburg High School,1838,1
22,Entourage / Naperville North High School,1943,Ambassadors / Carmel High School,2250,2
23,Sound FX / Los Alamitos High School,1941,Amazing Technicolor Show Choir / Westside High School,2112,1
24,Blackout / Elkhorn South High School,1932,10th Street Edition / Linn-Mar High School,2123,0
25,West in the Groove / Millard West High School,1918,Resonance / Lincoln Southwest High School,2014,1
26,In Sync / Burbank High School,1911,Swingers Unlimited / Marysville High School,2014,1
27,The Network / Homewood High School,1909,Singers / Oak Mountain High School,1862,2
28,Express / Troy Buchanan High School,1908,Hillside Singers / Pleasant Hill High School,1883,1
29,New Dimensions / Clover Hill High School,1908,By Request / Loveland High School,1958,2
30,Hilltoppers / Onalaska High School,1905,Choralation / Valley High School,1781,3
31,Varsity Singers / Auburn High School,1902,The Network / Homewood High School,1916,2
32,Show Cards / Colerain High School,1899,Swingers Unlimited / Marysville High School,2081,4
33,Titan Fever / Glenwood High School,1888,Express / Troy Buchanan High School,1939,3
34,Powerhouse / John Burroughs High School,1873,Ambassadors / Carmel High School,2250,0
35,Power Company / Waconia High School,1868,Central Singers Inc. / Davenport Central High School,1947,1
36,Expressions / Buffalo Grove High School,1867,Friend de Coup / Mitchell High School,1974,2
37,Hillside Singers / Pleasant Hill High School,1864,City Lights / Rock Bridge High School,1745,3
38,The Headliners / Sioux City East High School,1856,Friend de Coup / Mitchell High School,2093,2
39,Swingsations / Mt. Zion High School,1853,Friend de Coup / Mitchell High School,1974,2
40,Panache / Oliver Ames High School,1837,Fantasy / Shepherd Hill Regional High School,1818,0
41,Choraliers / Fairfield Senior High School,1836,Express / Troy Buchanan High School,1986,2
42,Red Hot / Hurricane High School,1835,High Impact / Matoaca High School,1602,4
43,Spotlight Singers & Company / Brownsburg High School,1823,Belles et Beaux / Plainfield High School,1799,0
44,Belles et Beaux / Plainfield High School,1813,First Edition / Lafayette Jefferson High School,1796,1
45,Eos / Waukee Northwest High School,1810,N/A,-1,0
46,South on Stage / Millard South High School,1805,Spectrum / Pius X High School,1794,1
47,Singers / Oak Mountain High School,1804,The Network / Homewood High School,1916,0
48,Momentum / Cedar Rapids Washington High School,1804,Swingsations / Mt. Zion High School,1933,1
49,Flight / Wichita All-City,1793,Soundsations / Texas City High School,1754,0
50,Choralation / Valley High School,1792,Visual Adrenaline / Ankeny High School,1707,0
51,Music in Motion / Solon High School,1789,The All Americans / ETC School of Musical Arts,1678,1
52,Flight / Wheaton North High School,1783,Express / Troy Buchanan High School,1980,1
53,Good Time Company / Iowa City West High School,1780,Central Singers Inc. / Davenport Central High School,1947,0
54,Excel / Elkhorn High School,1779,14 Karat Gold / Grand Island Northwest High School,1808,2
55,Infinity / Millard North High School,1776,14 Karat Gold / Grand Island Northwest High School,1808,2
56,Fantasy / Shepherd Hill Regional High School,1776,Music Unlimited / Waltham High School,1666,2
57,Central Singers Inc. / Davenport Central High School,1774,RAMification / Southeast Polk High School,1825,2
58,Sound FX / Hanover High School,1771,Spotlight / Cosby High School,1802,1
59,Pointe Singers / Grosse Pointe South High School,1770,Encore Entertainment Company / Medina High School,1855,0
60,Soundsations / Petal High School,1768,Brio / Brandon High School,1942,0
61,Rhythm in Gold / Bloomington Kennedy High School,1768,Vocalmotive / Bemidji High School,1895,4
62,Music Warehouse / Edgewood High School,1763,Fantasy / Shepherd Hill Regional High School,1818,3
63,Knight Sensations / Castle High School,1760,Spotlight Singers & Company / Brownsburg High School,1885,1
64,City Lights / Rock Bridge High School,1759,River City Revue / Hannibal High School,1686,2
65,Reveillon / Jackson Preparatory School,1759,Brio / Brandon High School,1942,1
66,Great Expectations / Twinsburg High School,1757,Friends / Beavercreek High School,1795,1
67,Electrum / Fishers High School,1754,N/A,-1,0
68,Modulations / El Paso-Gridley High School,1752,Elite Energy / Decatur Show Choir Complex,1640,3
69,West Side Delegation / Cedar Rapids Jefferson High School,1747,Swingsations / Mt. Zion High School,1933,1
70,Imagination / West Jones High School,1746,Encore / Jackson Academy,1722,1
71,Free Spirit / Papillion-La Vista High School,1742,Blackout / Elkhorn South High School,1938,1
72,NHS Singers / Noblesville High School,1736,Red Hot Blues / New Castle High School,1413,0
73,Xhilaration / Xavier High School,1734,West in the Groove / Millard West High School,1979,0
74,Vocalmotive / Bemidji High School,1731,Rhythm in Gold / Bloomington Kennedy High School,1694,0
75,Double Time / Excelsior Middle School,1726,N/A,-1,0
76,Legacy / Ross High School,1725,N/A,-1,0
77,Company of Singers / Totino-Grace High School,1724,Amazing Technicolor Show Choir / Westside High School,2112,0
78,Sound Vibrations / Hart High School,1718,Music Unlimited / Waltham High School,1666,0
79,Spotlight / Cosby High School,1715,Red Hot / Hurricane High School,1864,2
80,Premiers / Ben Davis High School,1711,Music Warehouse / Edgewood High School,1674,0
81,Friends / Beavercreek High School,1710,First Edition / Findlay High School,2019,2
82,Express / Lincoln East High School,1703,14 Karat Gold / Grand Island Northwest High School,1808,0
83,The Ambassadors / Prairie High School,1700,10th Street Edition / Linn-Mar High School,1877,1
84,Executive Suite / Sioux Falls Roosevelt High School,1700,Titanium / Papillion-La Vista South High School,1673,2
85,Visual Adrenaline / Ankeny High School,1699,Titanium / Papillion-La Vista South High School,1960,0
86,RAMification / Southeast Polk High School,1696,N/A,-1,0
87,New Creation / Marion High School,1694,AcaPella / Pella High School,1657,1
88,Sound Revolution / Norwalk High School,1694,South on Stage / Millard South High School,1803,2
89,Voices in Motion / Duke Ellington School of the Arts,1684,Sound FX / Hanover High School,1812,1
90,Center Stage / Oak Grove High School,1682,Brio / Brandon High School,1942,0
91,The Music Machine / Bonita Vista High School,1682,N/A,-1,0
92,14 Karat Gold / Grand Island Northwest High School,1678,Free Spirit / Papillion-La Vista High School,1927,0
93,Sound Express / Carlsbad High School,1677,N/A,-1,0
94,VIBE / Daniel Hand High School,1674,Music Unlimited / Waltham High School,1819,1
95,Masquerade / Brea Olinda High School,1673,N/A,-1,0
96,AcaPella / Pella High School,1671,Light Inc. / Des Moines Christian School,1585,1
97,Sidney State of Mind / Sidney High School,1666,N/A,-1,0
98,Trojanaires / Jenks High School,1666,Soundsations / Texas City High School,1754,0
99,Knight Scene / Thomas Dale High School,1663,Spotlight / Cosby High School,1802,0
100,Athenians / Gateway High School,1663,Singers / Sidney High School,1680,1
101,Vivace / Skutt Catholic High School,1662,Titanium / Papillion-La Vista South High School,1742,1
102,Evolution / American Leadership Academy,1660,Power Company / Waconia High School,1936,0
103,Class Royale / Homestead High School,1660,Minstrel Magic / Carroll High School,1537,1
104,Amherechos / Amherst County High School,1656,Illuminations / Oakdale High School,1500,1
105,Bridge Street Singers / St. Francis High School,1655,Vocalmotive / Bemidji High School,1816,0
106,Happiness Inc. / Cedar Rapids Kennedy High School,1654,RAMification / Southeast Polk High School,1825,0
107,Venus / Gateway High School,1651,Singers / Sidney High School,1680,0
108,8th Street Singing Company / Tift County High School,1649,Singers / Oak Mountain High School,1862,0
109,Midwest Express / Holmen High School,1649,Momentum / Cedar Rapids Washington High School,1866,1
110,Encore Entertainment Company / Medina High School,1648,By Request / Loveland High School,1948,1
111,Brio / Brandon High School,1646,Imagination / West Jones High School,1760,1
112,Rhythm Masters / Whiteland Community High School,1642,Knight Sensations / Castle High School,1745,1
113,Visions / Grenada High School,1639,Imagination / West Jones High School,1760,0
114,Satin 'n Lace / Rock Bridge High School,1637,River City Revue / Hannibal High School,1686,0
115,Grand Central Station / La Crosse Central High School,1635,Bridge Street Singers / St. Francis High School,1665,1
116,Soundwave / Peoria Area Performing Arts Studio,1634,N/A,-1,0
117,St. C Singers / St. Clairsville High School,1633,Singsation / Wapakoneta High School,1500,1
118,Northern Lights / North St. Paul High School,1633,Jam Session / De Pere High School,1618,0
119,Rhapsody In Blue / Spain Park High School,1633,N/A,-1,0
120,Gold / Norris High School,1633,Music Makers / Harrisonville High School,1544,0
121,Purple Harmony / Keokuk High School,1632,Choraleers / Neosho High School,1733,3
