rank,name,elo,bestWin,bestWinElo,GCs
1,Spectrum / Ankeny Centennial High School,2166,N/A,-1,0
2,Sound System / Center Grove High School,2103,Choraliers / Fairfield Senior High School,2020,3
3,Swingers Unlimited / Marysville High School,2083,By Request / Loveland High School,1856,2
4,Royalaires / Zionsville High School,2052,N/A,-1,0
5,First Edition / Findlay High School,2028,Amazing Technicolor Show Choir / Westside High School,2045,0
6,Attaché / Clinton High School,2025,N/A,-1,0
7,F.C. Singers / Franklin Central High School,2005,Ambassadors / Carmel High School,1976,5
8,10th Street Edition / Linn-Mar High School,1995,N/A,-1,0
9,Friend de Coup / Mitchell High School,1995,By Request / Loveland High School,1847,3
10,Ambassadors / Carmel High School,1965,First Edition / Lafayette Jefferson High School,1577,0
11,Express / Troy Buchanan High School,1957,Amazing Technicolor Show Choir / Westside High School,2045,3
12,Power Company / Waconia High School,1953,N/A,-1,0
13,Innovation / Johnston High School,1951,Sound Revolution / Norwalk High School,1733,1
14,Spotlight Singers & Company / Brownsburg High School,1947,Choraliers / Fairfield Senior High School,2020,0
15,Millennium / Waukee High School,1938,N/A,-1,0
16,Tiger Rhythm / Broken Arrow High School,1937,N/A,-1,0
17,Riverside Company / Hastings High School,1930,N/A,-1,0
18,The Headliners / Sioux City East High School,1928,N/A,-1,0
19,Sound Check / Waubonsie Valley High School,1923,N/A,-1,0
20,New Dimensions / Clover Hill High School,1917,N/A,-1,0
21,Vocalmotive / Bemidji High School,1905,N/A,-1,0
22,Soundsations / Petal High School,1905,Brio / Brandon High School,1852,1
23,Music in Motion / Solon High School,1898,N/A,-1,0
24,Central Singers Inc. / Davenport Central High School,1890,N/A,-1,0
25,West in the Groove / Millard West High School,1882,N/A,-1,0
26,Studio / Urbandale High School,1882,Innovation / Johnston High School,1953,1
27,Elite Energy / Decatur Show Choir Complex,1868,By Request / Loveland High School,1856,0
28,Resonance / Lincoln Southwest High School,1866,N/A,-1,0
29,Hillside Singers / Pleasant Hill High School,1864,Swingin' Saints / St. Thomas Aquinas High School,1511,1
30,Swingsations / Mt. Zion High School,1862,Hilltoppers / Onalaska High School,2058,2
31,Brio / Brandon High School,1861,Visions / Grenada High School,1787,1
32,Eagle Express / Aberdeen Central High School,1861,Hilltoppers / Onalaska High School,2058,3
33,Minstrel Magic / Carroll High School,1849,First Edition / Findlay High School,2049,2
34,Legacy / Ross High School,1841,First Edition / Findlay High School,2056,2
35,Visions / Grenada High School,1836,Express / Troy Buchanan High School,2045,1
36,Titanium / Papillion-La Vista South High School,1820,N/A,-1,0
37,Flight / Wheaton North High School,1812,N/A,-1,0
38,Varsity Singers / Auburn High School,1809,Visions / Grenada High School,1863,1
39,Friends / Beavercreek High School,1804,N/A,-1,0
40,Bridge Street Singers / St. Francis High School,1804,N/A,-1,0
41,The Network / Homewood High School,1786,Visions / Grenada High School,1863,0
42,Midwest Express / Holmen High School,1786,N/A,-1,0
43,Sound FX / Los Alamitos High School,1782,N/A,-1,0
44,Encore Entertainment Company / Medina High School,1777,CenterStage! / Albertville High School,1415,1
45,Tribe! / Keller High School,1774,N/A,-1,0
46,Infinity / Millard North High School,1772,N/A,-1,0
47,Knight Sensations / Castle High School,1769,N/A,-1,0
48,Counterpoints / North Central High School,1762,N/A,-1,0
49,Choralation / Valley High School,1758,N/A,-1,0
50,The Classics / Wheaton Warrenville South High School,1757,N/A,-1,0
51,Red Hot / Hurricane High School,1756,High Impact / Herbert Hoover High School,1502,2
52,River City Revue / Hannibal High School,1749,The Ambassadors / Prairie High School,1686,1
53,By Request / Loveland High School,1747,Minstrel Magic / Carroll High School,1701,1
54,Choraliers / Fairfield Senior High School,1742,Friends / Beavercreek High School,1945,1
55,Excel / Elkhorn High School,1739,N/A,-1,0
56,Sound Revolution / Norwalk High School,1739,Sudden Impact / Ottumwa High School,1633,0
57,Accents / Avon High School,1737,Choraliers / Fairfield Senior High School,2020,3
58,In Sync / Burbank High School,1722,N/A,-1,0
59,Encores / Enterprise High School,1722,The Network / Homewood High School,1754,2
60,Visual Adrenaline / Ankeny High School,1721,N/A,-1,0
61,Sound FX / Hanover High School,1717,N/A,-1,0
62,Imagination / West Jones High School,1716,N/A,-1,0
63,Ensemble / Burke High School,1715,N/A,-1,0
64,Class Royale / Homestead High School,1713,Electrum / Fishers High School,1735,2
65,Storm / Liberty High School,1713,N/A,-1,0
66,Electrum / Fishers High School,1712,Choraliers / Fairfield Senior High School,1813,0
67,14 Karat Gold / Grand Island Northwest High School,1702,Gold / Norris High School,1553,1
68,Happiness Inc. / Cedar Rapids Kennedy High School,1701,N/A,-1,0
69,Entourage / Naperville North High School,1700,N/A,-1,0
70,Royal Pride / Norfolk Senior High School,1700,N/A,-1,0
71,Expressions / Buffalo Grove High School,1696,N/A,-1,0
72,The Ambassadors / Prairie High School,1696,New Score Singers / Smith-Cotton High School,1529,0
73,Voices of Central / Keller Central High School,1693,N/A,-1,0
74,Singers / Oak Mountain High School,1689,8th Street Singing Company / Tift County High School,1600,1
75,Silver Connection / Monona Grove High School,1689,N/A,-1,0
