rank,name,elo,bestWin,bestWinElo,GCs
1,Innovation / Johnston High School,2094,Friend de Coup / Mitchell High School,1900,4
2,Titan Fever / Glenwood High School,2086,By Request / Loveland High School,1988,6
3,Sound Check / Waubonsie Valley High School,2022,F.C. Singers / Franklin Central High School,1974,4
4,Attaché / Clinton High School,2015,The Network / Homewood High School,1940,3
5,Spectrum / Ankeny Centennial High School,1996,Innovation / Johnston High School,2061,3
6,F.C. Singers / Franklin Central High School,1985,By Request / Loveland High School,1974,3
7,Choraliers / Fairfield Senior High School,1981,Music in Motion / Solon High School,1904,4
8,Riverside Company / Hastings High School,1979,West in the Groove / Millard West High School,1947,4
9,Swingers Unlimited / Marysville High School,1965,Amazing Technicolor Show Choir / Westside High School,1946,4
10,Amazing Technicolor Show Choir / Westside High School,1952,First Edition / Findlay High School,1915,5
11,The Network / Homewood High School,1945,Imagination / West Jones High School,1688,4
12,Sound System / Center Grove High School,1945,Titan Fever / Glenwood High School,2135,4
13,Studio / Urbandale High School,1928,Power Company / Waconia High School,1859,1
14,Ambassadors / Carmel High School,1928,Flight / Wheaton North High School,1916,1
15,Royalaires / Zionsville High School,1919,By Request / Loveland High School,1974,1
16,By Request / Loveland High School,1917,Swingers Unlimited / Marysville High School,1926,4
17,Friend de Coup / Mitchell High School,1915,West in the Groove / Millard West High School,1947,1
18,Music in Motion / Solon High School,1913,Flight / Wheaton North High School,1916,2
19,Express / Troy Buchanan High School,1902,The Classics / Wheaton Warrenville South High School,1912,3
20,Hilltoppers / Onalaska High School,1898,Power Company / Waconia High School,1830,4
21,In Sync / Burbank High School,1892,Titan Fever / Glenwood High School,2135,1
22,Millennium / Waukee High School,1876,Hilltoppers / Onalaska High School,1921,2
23,Flight / Wheaton North High School,1866,Company of Singers / Totino-Grace High School,1848,2
24,West in the Groove / Millard West High School,1864,Riverside Company / Hastings High School,1982,2
25,Soundsations / Petal High School,1858,Soundsations / Texas City High School,1769,2
26,Bridge Street Singers / St. Francis High School,1854,10th Street Edition / Linn-Mar High School,1860,2
27,Red Hot / Hurricane High School,1842,By Request / Loveland High School,2023,6
28,First Edition / Findlay High School,1838,Great Expectations / Twinsburg High School,1737,2
29,The Headliners / Sioux City East High School,1833,West in the Groove / Millard West High School,1947,3
30,New Dimensions / Clover Hill High School,1830,Pointe Singers / Grosse Pointe South High School,1766,2
31,Company of Singers / Totino-Grace High School,1825,Power Company / Waconia High School,1834,1
32,The Ambassadors / Prairie High School,1817,Bridge Street Singers / St. Francis High School,1786,1
33,Counterpoints / North Central High School,1802,Choraliers / Fairfield Senior High School,1932,1
34,Pointe Singers / Grosse Pointe South High School,1801,Encore Entertainment Company / Medina High School,1759,1
35,Executive Suite / Sioux Falls Roosevelt High School,1797,Friend de Coup / Mitchell High School,1920,1
36,Entourage / Naperville North High School,1797,Spotlighters / Craig High School,1788,2
37,Fantasy / Shepherd Hill Regional High School,1796,VIBE / Daniel Hand High School,1787,2
38,Spotlighters / Craig High School,1796,Company of Singers / Totino-Grace High School,1848,2
39,10th Street Edition / Linn-Mar High School,1794,Spotlighters / Craig High School,1791,2
40,Sound FX / Los Alamitos High School,1789,N/A,-1,0
41,The Classics / Wheaton Warrenville South High School,1785,Great Expectations / Twinsburg High School,1739,0
42,Power Company / Waconia High School,1782,Company of Singers / Totino-Grace High School,1847,2
43,Powerhouse / John Burroughs High School,1782,Just For Show / Midlothian High School,1581,1
44,Vocalmotive / Bemidji High School,1776,The Classics / Wheaton Warrenville South High School,1878,0
45,Elite Energy / Decatur Show Choir Complex,1772,The Classics / Wheaton Warrenville South High School,1837,2
46,InMotion / Mt. Pleasant Community High School,1770,Purple Harmony / Keokuk High School,1707,2
47,Grand Central Station / La Crosse Central High School,1768,Impulse / Wahlert Catholic High School,1680,3
48,Tiger Rhythm / Broken Arrow High School,1766,Friend de Coup / Mitchell High School,1908,0
49,Great Expectations / Twinsburg High School,1760,Fantasy / Shepherd Hill Regional High School,1812,1
50,Ultimate Image / Grand Island Senior High School,1758,Hillside Singers / Pleasant Hill High School,1761,1
51,Hillside Singers / Pleasant Hill High School,1746,Soundwave / Carthage Senior High School,1747,3
52,Rhythm in Gold / Bloomington Kennedy High School,1743,Hilltoppers / Onalaska High School,1925,2
53,VIBE / Daniel Hand High School,1737,Panache / Oliver Ames High School,1593,1
54,Central Singers Inc. / Davenport Central High School,1737,Modulations / El Paso-Gridley High School,1679,0
55,Purple Harmony / Keokuk High School,1728,InMotion / Mt. Pleasant Community High School,1688,2
56,Swingsations / Mt. Zion High School,1724,First Edition / Findlay High School,1915,0
57,Sound FX / Hanover High School,1717,Spotlight / Cosby High School,1727,3
58,Ensemble / Burke High School,1715,N/A,-1,0
59,Free Spirit / Papillion-La Vista High School,1715,Titanium / Papillion-La Vista South High School,1754,1
60,Spotlight Singers & Company / Brownsburg High School,1714,Knight Sensations / Castle High School,1700,2
61,Splash / Etobicoke School of the Arts,1704,Fantasy / Shepherd Hill Regional High School,1844,0
62,Royal Pride / Norfolk Senior High School,1700,Sixteenth Street Singers / Denison High School,1500,1
63,City Lights / Rock Bridge High School,1698,Sound Express / Platte County High School,1780,1
64,Central Sound / Lawrence Central High School,1697,Counterpoints / North Central High School,1865,1
65,Infinity / Millard North High School,1696,Executive Suite / Sioux Falls Roosevelt High School,1742,2
66,Expressions / Buffalo Grove High School,1696,Entourage / Naperville North High School,1779,0
67,Soundwave / Carthage Senior High School,1693,Soundsational Singers / Nevada High School,1686,2
68,Imagination / West Jones High School,1685,Visions / Grenada High School,1665,2
69,Soundsations / Texas City High School,1683,Tribe! / Keller High School,1640,1
70,Singers / Sidney High School,1680,Ascension / Vista PEAK Preparatory,1500,1
71,Classic Connection / Sioux Falls Washington High School,1677,Hillside Singers / Pleasant Hill High School,1761,1
72,Tribe! / Keller High School,1675,The Bell System / L.D. Bell High School,1500,0
73,Choralation / Valley High School,1674,RAMification / Southeast Polk High School,1688,1
74,Minstrel Magic / Carroll High School,1672,Class Royale / Homestead High School,1723,2
75,Impulse / Wahlert Catholic High School,1671,Celebration Co. / Benton Community High School,1623,1
76,Class Royale / Homestead High School,1668,Minstrel Magic / Carroll High School,1690,0
77,Voices In Perfection / Capital High School,1664,Harmony In Motion / Wapakoneta High School,1403,1
78,Xhilaration / Xavier High School,1663,Choralation / Valley High School,1739,2
79,NHS Singers / Noblesville High School,1660,Class Royale / Homestead High School,1723,0
80,Music Warehouse / Edgewood High School,1658,Synergy / Shelbyville High School,1568,2
81,St. C Singers / St. Clairsville High School,1656,Images / Morgantown High School,1647,0
82,High Impact / Matoaca High School,1643,Flight / Spring Mills High School,1500,1
83,Express / Lincoln East High School,1641,Resonance / Lincoln Southwest High School,1609,0
84,Midwest Express / Holmen High School,1641,West Side Delegation / Cedar Rapids Jefferson High School,1640,1
85,Momentum / Cedar Rapids Washington High School,1640,Happiness Inc. / Cedar Rapids Kennedy High School,1665,0
86,West Side Delegation / Cedar Rapids Jefferson High School,1639,Impulse / Wahlert Catholic High School,1680,0
87,Legacy / Ross High School,1638,N/A,-1,0
88,Uncaged On Stage / Hastings High School,1637,N/A,-1,0
89,Illusion / Shepherd Hill Regional High School,1632,N/A,-1,0
90,Brio / Brandon High School,1629,Reveillon / Jackson Preparatory School,1675,0
91,Vocal Intensity / Robert C. Byrd High School,1628,St. C Singers / St. Clairsville High School,1690,1
92,Sound Dimension / Joplin High School,1624,Soundwave / Carthage Senior High School,1722,1
93,G Major / St. George's School of Montreal,1621,N/A,-1,0
94,Ascension / Vista PEAK Preparatory,1620,9th Street Singers / Chase County High School,1500,0
95,Resonance / Lincoln Southwest High School,1613,Tiger Rhythm / Broken Arrow High School,1729,1
96,Encore Entertainment Company / Medina High School,1613,Red Hot / Hurricane High School,1835,0
97,Voices of Central / Keller Central High School,1610,Musicale / McNeil High School,1500,1
98,Knight Sensations / Castle High School,1608,Sandpipers / Chesterton High School,1570,1
99,Visual Harmonics / Woodbine Community School,1607,N/A,-1,0
100,Encore / Jackson Academy,1607,Soundsations / Texas City High School,1769,1
101,Friends / Beavercreek High School,1606,Harding Singers / Marion Harding High School,1584,2
102,Noteworthy / Oak Park and River Forest High School,1606,N/A,-1,0
103,Reveillon / Jackson Preparatory School,1605,Brio / Brandon High School,1537,0
104,Starlights / Northridge High School,1605,N/A,-1,0
105,Iridescence / Clover Hill High School,1604,South Spirit / Martinsburg South Middle School,1500,0
106,Sudden Impact / Ottumwa High School,1603,Sound Revolution / Norwalk High School,1589,2
107,Sound Express / Platte County High School,1603,Adrenaline / Atchison High School,1507,1
108,Music Express / Garfield Heights High School,1601,Prominent Rendition / Teays Valley High School,1629,1
109,Gold / Norris High School,1598,Soundwave / Carthage Senior High School,1747,1
110,Good Time Company / Iowa City West High School,1598,Choralation / Valley High School,1739,0
111,Singers / Oak Mountain High School,1594,Applause / Appling County High School,1545,0
112,Masquerade / Brea Olinda High School,1593,N/A,-1,0
113,Varsity Singers / Auburn High School,1592,Vocal Motion / Bradley Central High School,1609,1
114,Images / Morgantown High School,1590,St. C Singers / St. Clairsville High School,1682,1
115,Sandpipers / Chesterton High School,1586,Modulations / El Paso-Gridley High School,1628,1
116,Fusion / Fairfield Jr/Sr High School,1585,Class Royale / Homestead High School,1711,1
117,Shockwave / Elkhorn South High School,1585,9th Street Singers / Chase County High School,1560,0
118,Show Choir / Columbus High School,1582,N/A,-1,0
119,Choralation / Milton High School,1581,Momentum / Cedar Rapids Washington High School,1655,2
120,Sound Revolution / Norwalk High School,1580,Corporation / Lewis Central High School,1563,0
121,Knightingales / Castle High School,1580,N/A,-1,0
122,Rhythm Masters / Whiteland Community High School,1579,NHS Singers / Noblesville High School,1693,0
123,8th Street Singing Company / Tift County High School,1578,Applause / Appling County High School,1545,1
124,Celebration Co. / Benton Community High School,1576,Purple Harmony / Keokuk High School,1834,1
125,Northern Lights / Northridge High School,1575,Sandpipers / Chesterton High School,1570,1
126,Encores / Pike High School,1573,Central Sound / Lawrence Central High School,1682,0
127,Simply Irresistible / Westside High School,1573,N/A,-1,0
128,Jazz / Auburn Junior High School,1572,Class Act / Oak Mountain Middle School,1500,1
129,Jefferson Connection / Bloomington Jefferson High School,1571,Limited Edition / Tomah High School,1572,0
130,Rhythm In Red / Cabell Midland High School,1571,Rave Revue / Ravenswood High School,1540,1
131,Limited Edition / Beatrice High School,1569,N/A,-1,0
132,Varsity Singers / Huntington North High School,1564,New Era / Churubusco Jr/Sr High School,1503,0
133,Soundwave / Warrensburg High School,1563,Sound Express / Platte County High School,1780,0
134,Vocal Infusion / Anderson High School,1562,Knight Sensations / Castle High School,1700,1
