rank,name,elo,bestWin,bestWinElo,GCs
1,Spectrum / Ankeny Centennial High School,2166,Innovation / Johnston High School,2063,4
2,Royalaires / Zionsville High School,2052,Sound System / Center Grove High School,2026,3
3,Amazing Technicolor Show Choir / Westside High School,2045,Vocalmotive / Bemidji High School,1916,3
4,Hilltoppers / Onalaska High School,2028,Power Company / Waconia High School,1942,6
5,Attaché / Clinton High School,2025,Visions / Grenada High School,1811,2
6,Titan Fever / Glenwood High School,2023,Sound Check / Waubonsie Valley High School,2022,3
7,Swingers Unlimited / Marysville High School,2013,Royalaires / Zionsville High School,1919,3
8,10th Street Edition / Linn-Mar High School,1995,Amazing Technicolor Show Choir / Westside High School,2068,2
9,Choraliers / Fairfield Senior High School,1993,Swingers Unlimited / Marysville High School,2053,2
10,Ambassadors / Carmel High School,1976,Choraliers / Fairfield Senior High School,2010,2
11,Express / Troy Buchanan High School,1967,Titan Fever / Glenwood High School,2086,1
12,Soundsations / Petal High School,1962,8th Street Singing Company / Tift County High School,1719,4
13,Innovation / Johnston High School,1953,Amazing Technicolor Show Choir / Westside High School,2068,0
14,Power Company / Waconia High School,1953,Riverside Company / Hastings High School,1991,3
15,Sound System / Center Grove High School,1951,Sound Check / Waubonsie Valley High School,2029,3
16,Friends / Beavercreek High School,1945,Music in Motion / Solon High School,1913,3
17,Millennium / Waukee High School,1938,Innovation / Johnston High School,2063,0
18,Tiger Rhythm / Broken Arrow High School,1937,Studio / Urbandale High School,2013,2
19,Riverside Company / Hastings High School,1930,Resonance / Lincoln Southwest High School,1880,1
20,F.C. Singers / Franklin Central High School,1929,Swingers Unlimited / Marysville High School,2045,2
21,The Headliners / Sioux City East High School,1928,Executive Suite / Sioux Falls Roosevelt High School,1792,3
22,Sound Check / Waubonsie Valley High School,1923,Titan Fever / Glenwood High School,2112,0
23,New Dimensions / Clover Hill High School,1917,Choraliers / Fairfield Senior High School,1981,3
24,First Edition / Findlay High School,1914,Music in Motion / Solon High School,1911,2
25,Friend de Coup / Mitchell High School,1908,Studio / Urbandale High School,1897,2
26,Vocalmotive / Bemidji High School,1905,Riverside Company / Hastings High School,1979,3
27,Music in Motion / Solon High School,1898,By Request / Loveland High School,1908,2
28,Central Singers Inc. / Davenport Central High School,1890,InMotion / Mt. Pleasant Community High School,1770,3
29,West in the Groove / Millard West High School,1882,Riverside Company / Hastings High School,1989,1
30,Encore Entertainment Company / Medina High School,1873,Swingsations / Mt. Zion High School,1959,3
31,Swingsations / Mt. Zion High School,1873,Titan Fever / Glenwood High School,2112,2
32,In Sync / Burbank High School,1866,N/A,-1,0
33,Resonance / Lincoln Southwest High School,1866,West in the Groove / Millard West High School,1842,2
34,By Request / Loveland High School,1847,F.C. Singers / Franklin Central High School,1985,3
35,Spotlight Singers & Company / Brownsburg High School,1844,F.C. Singers / Franklin Central High School,2040,1
36,Hillside Singers / Pleasant Hill High School,1844,City Lights / Rock Bridge High School,1737,4
37,Studio / Urbandale High School,1829,Innovation / Johnston High School,2094,1
38,Titanium / Papillion-La Vista South High School,1820,Friend de Coup / Mitchell High School,1931,3
39,VIBE / Daniel Hand High School,1816,Fantasy / Shepherd Hill Regional High School,1591,2
40,Elite Energy / Decatur Show Choir Complex,1815,Express / Troy Buchanan High School,1978,2
41,Flight / Wheaton North High School,1812,Riverside Company / Hastings High School,1989,1
42,Bridge Street Singers / St. Francis High School,1804,Ultimate Image / Grand Island Senior High School,1758,1
43,Brio / Brandon High School,1796,Visions / Grenada High School,1815,3
44,Midwest Express / Holmen High School,1786,Bridge Street Singers / St. Francis High School,1890,2
45,Visions / Grenada High School,1784,The Network / Homewood High School,1945,2
46,Sound FX / Los Alamitos High School,1782,N/A,-1,0
47,Tribe! / Keller High School,1774,Soundsations / Texas City High School,1683,1
48,Infinity / Millard North High School,1772,Friend de Coup / Mitchell High School,1931,0
49,Knight Sensations / Castle High School,1769,Counterpoints / North Central High School,1802,2
50,Counterpoints / North Central High School,1762,Premiers / Ben Davis High School,1672,0
51,Choralation / Valley High School,1758,Friend de Coup / Mitchell High School,1952,2
52,The Classics / Wheaton Warrenville South High School,1757,Elite Energy / Decatur Show Choir Complex,1788,0
53,The Network / Homewood High School,1754,Visions / Grenada High School,1808,2
54,Red Hot / Hurricane High School,1754,By Request / Loveland High School,1917,1
55,Powerhouse / John Burroughs High School,1744,N/A,-1,0
56,Excel / Elkhorn High School,1739,West in the Groove / Millard West High School,1911,2
57,Reveille / Madison Central High School,1735,The Network / Homewood High School,1945,0
58,Sound Revolution / Norwalk High School,1733,Sudden Impact / Ottumwa High School,1603,2
59,Visual Adrenaline / Ankeny High School,1721,Innovation / Johnston High School,1994,1
60,Sound FX / Hanover High School,1717,N/A,-1,0
61,Imagination / West Jones High School,1716,Reveillon / Jackson Preparatory School,1519,1
62,Ensemble / Burke High School,1715,N/A,-1,0
63,Storm / Liberty High School,1713,InMotion / Mt. Pleasant Community High School,1770,1
64,Eagle Express / Aberdeen Central High School,1710,Executive Suite / Sioux Falls Roosevelt High School,1797,2
65,Happiness Inc. / Cedar Rapids Kennedy High School,1701,Company of Singers / Totino-Grace High School,1825,0
66,Entourage / Naperville North High School,1700,NHS Singers / Noblesville High School,1696,0
