rank,name,elo,bestWin,bestWinElo,GCs
1,Titan Fever / Glenwood High School,1993,By Request / Loveland High School,1905,4
2,Innovation / Johnston High School,1988,Power Company / Waconia High School,1881,4
3,By Request / Loveland High School,1928,Choraliers / Fairfield Senior High School,1827,4
4,The Classics / Wheaton Warrenville South High School,1912,Friend de Coup / Mitchell High School,1788,4
5,West in the Groove / Millard West High School,1901,Millennium / Waukee High School,1815,4
6,Royalaires / Zionsville High School,1881,Sound System / Center Grove High School,1811,3
7,Studio / Urbandale High School,1881,Amazing Technicolor Show Choir / Westside High School,1806,4
8,10th Street Edition / Linn-Mar High School,1860,Titan Fever / Glenwood High School,1934,4
9,Vocalmotive / Bemidji High School,1858,Innovation / Johnston High School,1968,3
10,Choraliers / Fairfield Senior High School,1854,First Edition / Findlay High School,1893,3
11,Company of Singers / Totino-Grace High School,1847,Tiger Rhythm / Broken Arrow High School,1747,3
12,Friend de Coup / Mitchell High School,1842,Amazing Technicolor Show Choir / Westside High School,1806,2
13,First Edition / Findlay High School,1840,By Request / Loveland High School,1871,4
14,Music in Motion / Solon High School,1839,First Edition / Findlay High School,1843,2
15,Attaché / Clinton High School,1838,Varsity Singers / Auburn High School,1674,2
16,The Network / Homewood High School,1837,First Edition / Findlay High School,1893,4
17,Red Hot / Hurricane High School,1835,Pointe Singers / Grosse Pointe South High School,1711,6
18,Purple Harmony / Keokuk High School,1834,Modulations / El Paso-Gridley High School,1652,2
19,Flight / Wheaton North High School,1823,Power Company / Waconia High School,1864,1
20,Millennium / Waukee High School,1821,Power Company / Waconia High School,1881,0
21,F.C. Singers / Franklin Central High School,1819,By Request / Loveland High School,1923,5
22,Swingers Unlimited / Marysville High School,1808,Music in Motion / Solon High School,1817,2
23,Sound FX / Los Alamitos High School,1797,F.C. Singers / Franklin Central High School,1940,1
24,Spectrum / Ankeny Centennial High School,1796,Millennium / Waukee High School,1745,0
25,Ambassadors / Carmel High School,1784,Swingers Unlimited / Marysville High School,1794,1
26,Sound Express / Platte County High School,1780,New Score Singers / Smith-Cotton High School,1709,2
27,Counterpoints / North Central High School,1774,First Edition / Findlay High School,1893,2
28,Sound System / Center Grove High School,1774,F.C. Singers / Franklin Central High School,1940,2
29,Power Company / Waconia High School,1771,Hilltoppers / Onalaska High School,1821,2
30,Pointe Singers / Grosse Pointe South High School,1766,Friends / Beavercreek High School,1580,1
31,Hilltoppers / Onalaska High School,1766,Company of Singers / Totino-Grace High School,1797,2
32,Fantasy / Shepherd Hill Regional High School,1761,Music Unlimited / Waltham High School,1725,1
33,Soundsations / Petal High School,1758,Encore / Jackson Academy,1641,3
34,Amazing Technicolor Show Choir / Westside High School,1757,Sound Check / Waubonsie Valley High School,1797,1
35,Titanium / Papillion-La Vista South High School,1754,Express / Troy Buchanan High School,1705,2
36,Express / Troy Buchanan High School,1738,Sound Check / Waubonsie Valley High School,1839,2
37,Sound Check / Waubonsie Valley High School,1737,Great Expectations / Twinsburg High School,1750,0
38,Powerhouse / John Burroughs High School,1735,F.C. Singers / Franklin Central High School,1940,0
39,Tiger Rhythm / Broken Arrow High School,1729,Power Company / Waconia High School,1864,1
40,Executive Suite / Sioux Falls Roosevelt High School,1727,Friend de Coup / Mitchell High School,1815,3
41,Spotlight / Cosby High School,1727,Music Unlimited / Waltham High School,1725,2
42,Choralation / Valley High School,1722,Grand Central Station / La Crosse Central High School,1701,2
43,Ensemble / Burke High School,1715,N/A,-1,0
44,The Headliners / Sioux City East High School,1708,Blackout / Elkhorn South High School,1762,3
45,VIBE / Daniel Hand High School,1707,Panache / Oliver Ames High School,1744,1
46,Great Expectations / Twinsburg High School,1705,First Edition / Findlay High School,1843,1
47,Rhythm Masters / Whiteland Community High School,1699,Choraliers / Fairfield Senior High School,1794,1
48,Encore Entertainment Company / Medina High School,1697,Class Royale / Homestead High School,1645,0
49,Rhythm of the Knight / Uniondale High School,1694,Music Unlimited / Waltham High School,1622,1
50,Music Makers / Harrisonville High School,1693,New Score Singers / Smith-Cotton High School,1709,0
51,Class Royale / Homestead High School,1693,Encore Entertainment Company / Medina High School,1696,3
52,RAMification / Southeast Polk High School,1688,InMotion / Mt. Pleasant Community High School,1709,1
53,InMotion / Mt. Pleasant Community High School,1688,Purple Harmony / Keokuk High School,1829,1
54,Soundsational Singers / Nevada High School,1686,Soundwave / Carthage Senior High School,1557,3
55,New Dimensions / Clover Hill High School,1682,Great Expectations / Twinsburg High School,1718,1
56,St. C Singers / St. Clairsville High School,1682,Rhythm In Red / Cabell Midland High School,1630,1
57,Central Sound / Lawrence Central High School,1682,Music Warehouse / Edgewood High School,1595,1
58,NHS Singers / Noblesville High School,1681,Classic Connection / DeKalb High School,1666,2
59,Riverside Company / Hastings High School,1680,Midwest Express / Holmen High School,1618,0
60,Momentum / Cedar Rapids Washington High School,1680,Hilltoppers / Onalaska High School,1833,1
61,Soundsations / Texas City High School,1678,Tribe! / Keller High School,1603,1
62,Ultimate Image / Grand Island Senior High School,1673,Executive Suite / Sioux Falls Roosevelt High School,1764,2
63,Entourage / Naperville North High School,1671,Sound Check / Waubonsie Valley High School,1770,0
64,Express / Lincoln East High School,1671,Trojanaires / Jenks High School,1558,1
65,Elite Energy / Decatur Show Choir Complex,1668,Minstrel Magic / Carroll High School,1658,2
